Year,Month,Day,Transect,Site,Patch_ID,PLANT,Floral_Abundance,Notes,,
2024,4,18,2,Quarry_3,Q3,PLER,100,,,
2024,4,18,2,Quarry_3,Q3,CADE,2,,,
2024,4,18,2,Quarry_3,Q3,VIVI,400,,,
2024,4,18,2,Quarry_3,Q3,LUSU,3,,,
2024,4,18,2,Quarry_3,Q3,DICA,107,,,
2024,4,18,2,Quarry_3,Q3,ACWR,3,,,
2024,4,18,2,Quarry_3,Q3,CARU,3,17 still has flower ,,
2024,4,19,1,Quarry_1,Q1,CADE,78,,,
2024,4,19,1,Quarry_1,Q1,MEPO,4,,,
2024,4,19,1,Quarry_1,Q1,ESCA,23,,,
2024,4,19,1,Quarry_1,Q1,VIVI,380,,,
2024,4,19,1,Quarry_1,Q1,LACA,736,,,
2024,4,19,1,Quarry_1,Q1,ACWR,5,,,
2024,4,19,1,Quarry_1,Q1,TRFU,59,,,
2024,4,19,1,Quarry_1,Q1,TRDU,21,,,
2024,4,19,1,Quarry_1,Q1,TRHI,24,,,
2024,4,19,1,Quarry_1,Q1,ERCI,3,,,
2024,4,19,1,Quarry_1,Q1,LUSU,4,,,
2024,4,19,1,Quarry_1,Q1,ACMO,1,,,
2024,4,19,1,Quarry_1,Q1,ERGU,10,,,
2024,4,19,1,Quarry_1,Q1,LUBI,5,,,
2024,4,19,1,Quarry_1,Q1,DICA,57,,,
2024,4,19,1,Quarry_1,Q1,ANAR,60,,,
2024,4,19,1,Quarry_2,Q2,VIVI,1000,,,
2024,4,19,1,Quarry_2,Q2,TRFU,99,,,
2024,4,19,1,Quarry_2,Q2,DICA,24,,,
2024,4,19,1,Quarry_2,Q2,LACA,60,,,
2024,4,19,1,Quarry_2,Q2,ACWR,59,,,
2024,4,19,1,Quarry_2,Q2,LUBI,12,,,
2024,4,19,1,Quarry_2,Q2,MEPO,220,,,
2024,4,19,1,Quarry_2,Q2,TRDU,74,,,
2024,4,19,1,Quarry_2,Q2,ERCI,2,,,
2024,4,19,1,Quarry_2,Q2,CADE,36,,,
2024,4,19,1,Quarry_2,Q2,PLER,50,,,
2024,4,19,1,Quarry_2,Q2,LUSU,5,,,
2024,4,19,1,Quarry_2,Q2,ACMO,28,,,
2024,4,19,1,Quarry_4,Q4,TRFU,93,,,
2024,4,19,1,Quarry_4,Q4,VIVI,62,,,
2024,4,19,1,Quarry_4,Q4,DICA,10,,,
2024,4,19,1,Quarry_4,Q4,LUSU,1,,,
2024,4,19,1,Quarry_4,Q4,MEPO,110,,,
2024,4,19,1,Quarry_4,Q4,LUBI,35,,,
2024,4,19,1,Quarry_4,Q4,ACWR,60,,,
2024,4,19,1,Quarry_4,Q4,VIVI,30,outside transect,,
2024,4,19,1,Quarry_5,Q5,TRFU,160,,,
2024,4,19,1,Quarry_5,Q5,DICA,85,,,
2024,4,19,1,Quarry_5,Q5,LUBI,7,,,
2024,4,19,1,Quarry_5,Q5,LUSU,4,,,
2024,4,19,1,Quarry_5,Q5,ACWR,3,,,
2024,4,19,1,Quarry_5,Q5,LACA,57,,,
2024,4,19,2,Quarry_5,Q5,EUSP,100,,,
2024,4,19,2,Quarry_5,Q5,DICA,200,,,
2024,4,19,2,Quarry_5,Q5,TRFU,200,,,
2024,4,19,2,Quarry_5,Q5,LACA,300,,,
2024,4,19,3,Quarry_5,Q5,TRFU,150,,,
2024,4,19,3,Quarry_5,Q5,DICA,300,,,
2024,4,19,3,Quarry_5,Q5,LACA,300,,,
2024,4,19,3,Quarry_5,Q5,VIVI,20,,,
2024,4,19,3,Quarry_5,Q5,ACWR,5,,,
2024,4,19,3,Quarry_5,Q5,CARU,30,,,
2024,4,19,2,Quarry_4,Q4,LUSU,2,,,
2024,4,19,2,Quarry_4,Q4,TRFU,21,mostly dry,,
2024,4,19,2,Quarry_4,Q4,ESCA,5,,,
2024,4,19,1,Quarry_3,Q3,TRFU,112,,,
2024,4,19,1,Quarry_3,Q3,VIVI,600,,,
2024,4,19,1,Quarry_3,Q3,MEPO,100,,,
2024,4,19,1,Quarry_3,Q3,LUSU,4,,,
2024,4,19,1,Quarry_3,Q3,PLER,100,,,
2024,4,19,1,Quarry_3,Q3,CADE,14,,,
2024,4,19,1,Quarry_3,Q3,DICA,31,,,
2024,4,19,1,Quarry_3,Q3,ACWR,40,,,
2024,4,19,1,Quarry_3,Q3,CARU,15,,,
2024,4,19,1,Quarry_3,Q3,TRHI,1,,,
2024,4,19,1,Felch,F1,MEPO,200,,,
2024,4,19,1,Felch,F1,VIVI,150,mostly buds,,
2024,4,19,1,Felch,F1,TRFU,301,,,
2024,4,19,1,Felch,F1,LUBI,14,,,
2024,4,19,1,Felch,F1,LACA,221,"in 21 in weeds, 200 away from weeds",,
2024,4,19,1,Felch,F1,GITR,300,,,
2024,4,19,1,Felch,F1,CADE,1,,,
2024,4,19,1,Felch,F1,TRAL,6,,,
2024,4,19,2,Upper_Grid_2,UG2_1,VIVI,2000,total,,
2024,4,19,2,Upper_Grid_2,UG2_1,DICA,4,,,
2024,4,19,2,Upper_Grid_2,UG2_1,LUSU,2,,,
2024,4,19,2,Upper_Grid_2,UG2_1,ACWR,1,,,
2024,4,19,2,Upper_Grid_2,UG2_1,VIVI,800,,,
2024,4,19,2,Upper_Grid_2,UG2_1,DEHE,5,,,
2024,4,19,2,Upper_Grid_2,UG2_1,TRFU,1,,,
2024,4,19,1,Upper_Grid_2,UG2_1,TRFU,25,,,
2024,4,19,1,Upper_Grid_2,UG2_1,LUSU,2,,,
2024,4,19,1,Upper_Grid_2,UG2_1,DICA,4,,,
2024,4,19,1,Upper_Grid_2,UG2_1,ACWR,3,,,
2024,4,19,1,Upper_Grid_2,UG2_1,AMME,2,,,
2024,4,19,1,Upper_Grid_2,UG2_1,VIVI,2,,,
2024,4,19,3,Upper_Grid_2,UG2_2,EUSP,30,,,
2024,4,19,3,Upper_Grid_2,UG2_2,VIVI,300,,,
2024,4,19,3,Upper_Grid_2,UG2_2,ACWR,29,,,
2024,4,19,3,Upper_Grid_2,UG2_2,MIDO,1,,,
2024,4,19,3,Upper_Grid_2,UG2_2,LUSU,3,,,
2024,4,19,3,Upper_Grid_2,UG2_2,TRFU,29,,,
2024,4,19,3,Upper_Grid_2,UG2_2,DICA,12,,,
2024,4,19,4,Upper_Grid_2,UG2_2,VIVI,800,vetch near clover patch 2,,
2024,4,19,4,Upper_Grid_2,UG2_2,TRFU,1,,,
2024,4,19,4,Upper_Grid_2,UG2_2,DICA,2,,,
2024,4,19,4,Upper_Grid_2,UG2_2,LUSU,2,,,
2024,4,19,1,Rock,R1,TRFU,49,,,
2024,4,19,1,Rock,R1,TRBI,9,,,
2024,4,19,1,Rock,R1,RACA,29,,,
2024,4,19,1,Rock,R1,TRLA,1,,,
2024,4,19,2,Rock,R1,TRFU,39,,,
2024,4,19,2,Rock,R1,EUSP,15,,,
2024,4,19,2,Rock,R1,TRBI,6,,,
2024,4,19,2,Rock,R1,MIDO,10,photo,,
2024,4,19,2,Rock,R1,PLER,50,most dried or bud,,
2024,4,19,3,Rock,R1,ERGU,32,,,
2024,4,19,3,Rock,R1,CRHI,85,,,
2024,4,19,3,Rock,R1,MIDO,23,,,
2024,4,19,3,Rock,R1,VIVI,7,,,
2024,4,19,3,Rock,R1,TRFU,23,,,
2024,4,19,3,Rock,R1,TRBI,6,,,
2024,4,19,3,Rock,R1,PLER,8,,,
2024,4,19,3,Rock,R1,EUSP,40,,,
2024,4,19,4,Rock,R1,VIVI,377,,,
2024,4,19,4,Rock,R1,ERCI,5,,,
2024,4,19,4,Rock,R1,ERGU,4,,,
2024,4,16,3,Quarry_5,Q5,TRFU,60,,,
2024,4,16,3,Quarry_5,Q5,VIVI,2,outside transect,,
2024,4,16,3,Quarry_5,Q5,PLER,30,,,
2024,4,16,3,Quarry_5,Q5,DICA,289,,,
2024,4,16,3,Quarry_5,Q5,LACA,466,,,
2024,4,16,3,Quarry_5,Q5,CARU,1,,,
2024,4,16,1,Quarry_2,Q2,TRFU,100,,,
2024,4,16,1,Quarry_2,Q2,VIVI,300,,,
2024,4,16,1,Quarry_2,Q2,DICA,40,,,
2024,4,16,1,Quarry_2,Q2,TRDU,32,,,
2024,4,16,1,Quarry_2,Q2,MEPO,173,,,
2024,4,16,1,Quarry_2,Q2,LACA,273,,,
2024,4,16,1,Quarry_2,Q2,LUBI,18,,,
2024,4,16,1,Quarry_2,Q2,PLER,213,,,
2024,4,16,1,Quarry_2,Q2,ERCI,1,,,
2024,4,16,1,Quarry_2,Q2,ACWR,45,,,
2024,4,16,1,Quarry_2,Q2,CADE,23,,,
2024,4,16,1,Quarry_2,Q2,LUSU,1,,,
2024,4,16,1,Quarry_1,Q1,TRFU,116,,,
2024,4,16,1,Quarry_1,Q1,VIVI,115,,,
2024,4,16,1,Quarry_1,Q1,ERGU,8,,,
2024,4,16,1,Quarry_1,Q1,LACA,1484,,,
2024,4,16,1,Quarry_1,Q1,DICA,112,,,
2024,4,16,1,Quarry_1,Q1,MEPO,44,,,
2024,4,16,1,Quarry_1,Q1,ERCI,12,,,
2024,4,16,1,Quarry_1,Q1,PLER,395,,,
2024,4,16,1,Quarry_1,Q1,ESCA,31,,,
2024,4,16,1,Quarry_1,Q1,CADE,93,,,
2024,4,16,1,Quarry_1,Q1,LUBI,44,,,
2024,4,16,1,Quarry_1,Q1,GITR,1,,,
2024,4,16,1,Quarry_1,Q1,LUSU,1,,,
2024,4,16,1,Quarry_1,Q1,TRHI,22,,,
2024,4,16,1,Quarry_1,Q1,TRBI,1,,,
2024,4,16,1,Quarry_1,Q1,ACWR,28,,,
2024,4,16,1,Quarry_1,Q1,TRDU,31,,,
2024,4,16,1,Quarry_1,Q1,ANAR,10,,,
2024,4,16,1,Rock,R1,TRFU,70,,,
2024,4,16,1,Rock,R1,PLER,45,,,
2024,4,16,1,Rock,R1,TRBI,21,,,
2024,4,16,1,Rock,R1,RACA,15,,,
2024,4,16,2,Rock,R1,TRBI,11,,,
2024,4,16,2,Rock,R1,PLER,121,,,
2024,4,16,2,Rock,R1,DICA,9,,,
2024,4,16,2,Rock,R1,TRFU,65,,,
2024,4,16,3,Rock,R1,TRFU,40,,,
2024,4,15,1,Rock,R1,TRFU,130,,,
2024,4,15,1,Rock,R1,TRBI,1,,,
2024,4,15,1,Rock,R1,RACA,60,,,
2024,4,15,2,Rock,R1,TRFU,65,,,
2024,4,15,2,Rock,R1,LACA,1,,,
2024,4,15,2,Rock,R1,DICA,5,,,
2024,4,15,3,Rock,R1,ERGU,14,,,
2024,4,15,3,Rock,R1,CRHI,210,,,
2024,4,15,3,Rock,R1,TRFU,50,,,
2024,4,15,3,Rock,R1,EUSP,15,,,
2024,4,15,3,Rock,R1,TRBI,3,,,
2024,4,15,3,Rock,R1,PLER,90,,,
2024,4,15,4,Rock,R1,VIVI,254,,,
2024,4,15,4,Rock,R1,ERCI,4,,,
2024,4,15,1,Upper_Grid_2,UG2_1,DICA,74,,,
2024,4,15,1,Upper_Grid_2,UG2_1,TRBI,2,,,
2024,4,15,1,Upper_Grid_2,UG2_1,LUSU,1,,,
2024,4,15,1,Upper_Grid_2,UG2_1,TRFU,60,,,
2024,4,15,1,Upper_Grid_2,UG2_1,AMME,4,,,
2024,4,15,1,Upper_Grid_2,UG2_1,ACWR,50,,,
2024,4,15,2,Upper_Grid_2,UG2_1,TRFU,50,,,
2024,4,15,2,Upper_Grid_2,UG2_1,ACWR,7,,,
2024,4,15,2,Upper_Grid_2,UG2_1,TRBI,1,,,
2024,4,15,3,Upper_Grid_2,UG2_1,LUSU,8,,,
2024,4,15,3,Upper_Grid_2,UG2_1,DICA,3,,,
2024,4,15,3,Upper_Grid_2,UG2_1,VIVI,300,,,
2024,4,15,3,Upper_Grid_2,UG2_1,DEHE,4,,,
2024,4,15,4,Upper_Grid_2,UG2_2,TRFU,105,,,
2024,4,15,4,Upper_Grid_2,UG2_2,ACWR,115,,,
2024,4,15,4,Upper_Grid_2,UG2_2,LUSU,3,,,
2024,4,15,4,Upper_Grid_2,UG2_2,DICA,175,,,
2024,4,15,4,Upper_Grid_2,UG2_2,VIVI,24,,,
2024,4,15,4,Upper_Grid_2,UG2_2,EUSP,145,,,
2024,4,15,5,Upper_Grid_2,UG2_2,VIVI,150,,,
2024,4,15,1,Quarry_1,Q1,LUBI,23,,,
2024,4,15,1,Quarry_1,Q1,TRHI,16,,,
2024,4,15,1,Quarry_1,Q1,ERCI,12,,,
2024,4,15,1,Quarry_1,Q1,ESCA,20,,,
2024,4,15,1,Quarry_1,Q1,MEPO,11,,,
2024,4,15,1,Quarry_1,Q1,ACWR,7,,,
2024,4,15,1,Quarry_1,Q1,LACA,1770,,,
2024,4,15,1,Quarry_1,Q1,DICA,134,,,
2024,4,15,1,Quarry_1,Q1,PLER,160,,,
2024,4,15,1,Quarry_1,Q1,VIVI,43,,,
2024,4,15,1,Quarry_1,Q1,CADE,50,,,
2024,4,15,1,Quarry_1,Q1,LUSU,1,,,
2024,4,15,1,Quarry_1,Q1,ERGU,2,,,
2024,4,15,1,Quarry_1,Q1,ANAR,3,,,
2024,4,15,1,Quarry_3,Q3,TRFU,197,,,
2024,4,15,1,Quarry_3,Q3,VIVI,130,,,
2024,4,15,1,Quarry_3,Q3,LUSU,3,,,
2024,4,15,1,Quarry_3,Q3,ERCI,47,,,
2024,4,15,1,Quarry_3,Q3,CADE,25,,,
2024,4,15,1,Quarry_3,Q3,MEPO,72,,,
2024,4,15,1,Quarry_3,Q3,ACWR,131,,,
2024,4,15,1,Quarry_3,Q3,PLER,992,,,
2024,4,15,1,Quarry_3,Q3,LACA,2,,,
2024,4,15,1,Quarry_3,Q3,CARU,2,,,
2024,4,15,1,Quarry_3,Q3,DICA,87,,,
2024,4,15,1,Quarry_3,Q3,URLI,5,,,
2024,4,15,1,Quarry_3,Q3,ANAR,2,,,
2024,4,15,1,Quarry_4,Q4,TRFU,128,,,
2024,4,15,1,Quarry_4,Q4,VIVI,10,,,
2024,4,15,1,Quarry_4,Q4,ACWR,4,,,
2024,4,15,1,Quarry_4,Q4,MEPO,238,,,
2024,4,15,1,Quarry_4,Q4,TRHI,2,,,
2024,4,15,1,Quarry_4,Q4,ERCI,68,,,
2024,4,15,1,Quarry_4,Q4,PLER,84,,,
2024,4,15,1,Quarry_4,Q4,pinapple_plant,3,,,
2024,4,15,1,Quarry_4,Q4,URLI,69,,,
2024,4,15,1,Quarry_4,Q4,DICA,37,,,
2024,4,15,2,Quarry_4,Q4,ERCI,30,,,
2024,4,15,2,Quarry_4,Q4,LUSU,1,,,
2024,4,15,1,Quarry_5,Q5,TRFU,200,,,
2024,4,15,1,Quarry_5,Q5,VIVI,1,,,
2024,4,15,1,Quarry_5,Q5,DICA,227,,,
2024,4,15,1,Quarry_5,Q5,ACWR,1,,,
2024,4,15,1,Quarry_5,Q5,MEPO,84,,,
2024,4,15,1,Quarry_5,Q5,LUBI,32,,,
2024,4,15,1,Quarry_5,Q5,ASJE,1,check for species,,
2024,4,15,1,Quarry_5,Q5,PLER,91,,,
2024,4,15,1,Quarry_5,Q5,LACA,57,,,
2024,4,15,1,Quarry_5,Q5,ERCI,11,,,
2024,4,15,1,Quarry_5,Q5,LUSU,2,,,
2024,4,15,2,Quarry_5,Q5,TRFU,200,,,
2024,4,15,2,Quarry_5,Q5,DICA,569,,,
2024,4,15,2,Quarry_5,Q5,LACA,929,,,
2024,4,22,1,Anu_3,A3,TRFU,5000,,,
2024,4,22,1,Anu_3,A3,VIVI,50,,,
2024,4,22,1,Anu_3,A3,TRLA,1350,,,
2024,4,22,1,Anu_3,A3,RACA,68,,,
2024,4,22,1,Anu_3,A3,LACA,252,,,
2024,4,22,1,Anu_3,A3,SIBE,225,,,
2024,4,22,1,Anu_3,A3,LUBI,5,,,
2024,4,22,1,Anu_3,A3,TRBI,3,,,
2024,4,22,1,Anu_3,A3,DICA,234,,,
2024,4,22,1,Anu_3,A3,CARU,3,,,
2024,4,22,1,Anu_4,A4,TRFU,10000,,,
2024,4,22,1,Anu_4,A4,VIVI,60,,,
2024,4,22,1,Anu_4,A4,DICA,634,,,
2024,4,22,1,Anu_4,A4,LUBI,55,,,
2024,4,22,1,Anu_4,A4,LOHO,15,,,
2024,4,22,1,Anu_4,A4,LACA,5430,,,
2024,4,22,1,Anu_4,A4,PLER,182,,,
2024,4,22,1,Anu_4,A4,CADE,4,,,
2024,4,22,1,Anu_4,A4,ACWR,18,,,
2024,4,22,1,Anu_4,A4,RACA,50,,,
2024,4,22,1,Anu_4,A4,TRLA,441,,,
2024,4,22,1,Anu_4,A4,CARU,28,,,
2024,4,22,1,Anu_4,A4,SIBE,60,,,
2024,4,22,1,Anu_4,A4,ERCI,1,,,
2024,4,22,1,Anu_4,A4,MEPO,1,,,
2024,4,22,1,Anu_4,A4,TOFR,1,,,
2024,4,22,2,Anu_4,A4,TRFU,2000,,,
2024,4,22,2,Anu_4,A4,VIVI,300,,,
2024,4,22,2,Anu_4,A4,LIDI,4,,,
2024,4,22,2,Anu_4,A4,LEBI,40,,,
2024,4,22,2,Anu_4,A4,RILE,15,,,
2024,4,22,2,Anu_4,A4,VIDO,13,,,
2024,4,22,2,Anu_4,A4,PLER,2826,,,
2024,4,22,2,Anu_4,A4,LOHO,26,,,
2024,4,22,2,Anu_4,A4,ACWR,7,,,
2024,4,22,2,Anu_4,A4,ACBR,1,,,
2024,4,22,2,Anu_4,A4,COSP,98,,,
2024,4,22,2,Anu_4,A4,LACA,27780,,,
2024,4,22,2,Anu_4,A4,DICA,183,,,
2024,4,22,2,Anu_4,A4,Allium,13,,,
2024,4,22,2,Anu_4,A4,MICA,300,,,
2024,4,22,2,Anu_4,A4,LUBI,17,,,
2024,4,22,2,Anu_4,A4,TRLA,7,,,
2024,4,20,1,Quarry_2,Q2,LACA,200,,,
2024,4,20,1,Quarry_2,Q2,VIVI,1000,,,
2024,4,20,1,Quarry_2,Q2,TRFU,92,,,
2024,4,20,1,Quarry_2,Q2,ERCI,35,,,
2024,4,20,1,Quarry_2,Q2,TRHI,5,,,
2024,4,20,1,Quarry_2,Q2,DICA,3,,,
2024,4,20,1,Quarry_2,Q2,LUBI,4,,,
2024,4,20,1,Quarry_2,Q2,TRDU,30,,,
2024,4,20,1,Quarry_2,Q2,ACWR,2,,,
2024,4,20,1,Quarry_2,Q2,TRBI,2,,,
2024,4,20,1,Quarry_2,Q2,CADE,12,,,
2024,4,20,1,Quarry_2,Q2,MEPO,50,,,
2024,4,20,1,Quarry_2,Q2,ACMO,100,,,
2024,4,20,1,Quarry_2,Q2,LUSU,1,,,
2024,4,20,1,Quarry_1,Q1,VIVI,500,,,
2024,4,20,1,Quarry_1,Q1,TRFU,70,,,
2024,4,20,1,Quarry_1,Q1,ERGU,20,,,
2024,4,20,1,Quarry_1,Q1,LACA,1000,,,
2024,4,20,1,Quarry_1,Q1,CADE,8,,,
2024,4,20,1,Quarry_1,Q1,ANAR,100,,,
2024,4,20,1,Quarry_1,Q1,DICA,10,,,
2024,4,20,1,Quarry_1,Q1,ERCI,10,,,
2024,4,20,1,Quarry_1,Q1,ESCA,30,,,
2024,4,20,1,Quarry_1,Q1,PLER,150,,,
2024,4,20,1,Quarry_1,Q1,LUBI,2,,,
2024,4,20,1,Quarry_1,Q1,AGHE,2,,,
2024,4,20,1,Quarry_1,Q1,LUSU,3,,,
2024,4,20,1,Quarry_1,Q1,TRHI,6,,,
2024,4,20,1,Quarry_1,Q1,CADE,4,,,
2024,4,20,1,Quarry_1,Q1,ERBO,1,,,
2024,4,20,1,Quarry_1,Q1,TRDU,20,,,
2024,4,20,1,Quarry_1,Q1,ACWR,50,,,
2024,4,20,1,Upper_Grid_2,UG2_1,LUSU,2,,,
2024,4,20,1,Upper_Grid_2,UG2_1,TRFU,35,,,
2024,4,20,1,Upper_Grid_2,UG2_1,AMME,2,,,
2024,4,20,1,Upper_Grid_2,UG2_1,ACWR,20,,,
2024,4,20,1,Upper_Grid_2,UG2_1,VIVI,2,,,
2024,4,20,2,Upper_Grid_2,UG2_1,VIVI,900,,,
2024,4,20,2,Upper_Grid_2,UG2_1,DEHE,4,,,
2024,4,20,2,Upper_Grid_2,UG2_1,LUSU,2,,,
2024,4,20,2,Upper_Grid_2,UG2_1,TRFU,1,,,
2024,4,20,2,Upper_Grid_2,UG2_1,DICA,1,,,
2024,4,20,3,Upper_Grid_2,UG2_2,TRFU,29,,,
2024,4,20,3,Upper_Grid_2,UG2_2,VIVI,100,,,
2024,4,20,3,Upper_Grid_2,UG2_2,LUSU,1,,,
2024,4,20,3,Upper_Grid_2,UG2_2,ACWR,50,,,
2024,4,20,3,Upper_Grid_2,UG2_2,EUSP,10,,,
2024,4,20,3,Upper_Grid_2,UG2_2,PLER,10,,,
2024,4,20,4,Upper_Grid_2,UG2_2,VIVI,1000,,,
2024,4,20,4,Upper_Grid_2,UG2_2,DICA,2,,,
2024,4,20,4,Upper_Grid_2,UG2_2,LUSU,3,,,
2024,4,20,1,Rock,R1,TRFU,20,,,
2024,4,20,1,Rock,R1,RACA,25,,,
2024,4,20,1,Rock,R1,TRBI,4,,,
2024,4,20,1,Rock,R1,EUSP,10,,,
2024,4,20,1,Rock,R1,TRLA,6,,,
2024,4,20,1,Rock,R1,ACWR,1,,,
2024,4,20,2,Rock,R1,TRFU,12,,,
2024,4,20,2,Rock,R1,EUSP,20,,,
2024,4,20,2,Rock,R1,TRBI,4,,,
2024,4,20,2,Rock,R1,PLER,100,,,
2024,4,20,3,Rock,R1,TRFU,6,,,
2024,4,20,3,Rock,R1,CRHI,200,,,
2024,4,20,3,Rock,R1,ERGU,32,,,
2024,4,20,3,Rock,R1,VIVI,20,,,
2024,4,20,3,Rock,R1,EUSP,100,,,
2024,4,20,3,Rock,R1,TRBI,6,,,
2024,4,20,3,Rock,R1,mustard,2,photo,,
2024,4,20,4,Rock,R1,VIVI,800,,,
2024,4,20,4,Rock,R1,ACWR,1,,,
2024,4,20,4,Rock,R1,ERGU,2,,,
2024,4,20,1,Felch,F1,TRFU,500,,,
2024,4,20,1,Felch,F1,VIVI,300,,,
2024,4,20,1,Felch,F1,MEPO,2000,,,
2024,4,20,1,Felch,F1,LUBI,20,,,
2024,4,20,1,Felch,F1,SEVU,1,,,
2024,4,20,1,Felch,F1,LACA,300,,,
2024,4,20,1,Felch,F1,CAME,10,,,
2024,4,20,1,Felch,F1,GEDI,100,,,
2024,4,20,1,Felch,F1,GITR,200,,,
2024,4,20,1,Felch,F1,CADE,10,,,
2024,4,20,1,Felch,F1,EUSP,80,,,
2024,4,20,1,South_Goatgrass,SG1,TRER,100,,,
2024,4,20,1,South_Goatgrass,SG1,GITR,100,,,
2024,4,20,1,South_Goatgrass,SG1,LACA,1000,,,
2024,4,20,1,South_Goatgrass,SG1,VIVI,200,,,
2024,4,20,1,South_Goatgrass,SG1,TRFU,100,,,
2024,4,20,1,South_Goatgrass,SG1,LUBI,100,,,
2024,4,20,1,South_Goatgrass,SG1,LEBI,100,,,
2024,4,20,1,South_Goatgrass,SG1,ASGA,1,,,
2024,4,20,1,South_Goatgrass,SG1,TRAL,80,,,
2024,4,20,1,South_Goatgrass,SG1,ESCA,15,,,
2024,4,20,1,South_Goatgrass,SG1,PLER,50,,,
2024,4,20,1,South_Goatgrass,SG1,ACWR,20,,,
2024,4,20,1,South_Goatgrass,SG1,DICA,1,,,
2024,4,20,2,South_Goatgrass,SG1,VIVI,1000,,,
