"pollinator","full_visits","serp_visits","nonserp_visits","full_degree","serp_degree","nonserp_degree","full_specialization","serp_specialization","nonserp_specialization","network_name"
"Xylocopa_sp.",9,9,0,2,2,0,"generalist","generalist","generalist","Aikawa_2022_summer"
"Adela_eldorada",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Adela_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Andrena_baeriae",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Andrena_dissona",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Andrena_pensilis",8,8,0,3,3,0,"generalist","generalist","generalist","Aikawa_2024_spring"
"Andrena_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Andrena_subchalybea",2,2,0,2,2,0,"generalist","generalist","generalist","Aikawa_2024_spring"
"Anthophora_crotchii",2,0,2,1,0,1,"specialist","generalist","specialist","Aikawa_2024_spring"
"Anthrenus_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Apis_mellifera",5,0,5,1,0,1,"specialist","generalist","specialist","Aikawa_2024_spring"
"BF1_Diptera",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Bombus_californicus",2,1,1,2,1,1,"generalist","specialist","specialist","Aikawa_2024_spring"
"Bombus_melanopygus",5,1,4,2,1,1,"generalist","specialist","specialist","Aikawa_2024_spring"
"Bombus_vosnesenskii",3,1,2,2,1,1,"generalist","specialist","specialist","Aikawa_2024_spring"
"Brachysomida_californica",7,7,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Diadasia_bituberculata",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Diadasia_nigrifrons",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Halictus_ligatus",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Helithodes_dimutiva",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Hippodamia_convergens",2,0,2,1,0,1,"specialist","generalist","specialist","Aikawa_2024_spring"
"Listrus_sp._1",55,55,0,6,6,0,"generalist","generalist","generalist","Aikawa_2024_spring"
"Malachius_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Muscidae",1,0,1,1,0,1,"specialist","generalist","specialist","Aikawa_2024_spring"
"Osmia_cara",5,3,2,2,1,1,"generalist","specialist","specialist","Aikawa_2024_spring"
"Osmia_sp.",7,7,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"red_Braconidae",7,7,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"silver_moth_Lepidoptera",10,10,0,2,2,0,"generalist","generalist","generalist","Aikawa_2024_spring"
"Sphaerophoria_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Tachnidae",1,1,0,1,1,0,"specialist","specialist","generalist","Aikawa_2024_spring"
"Xylocopa_sonorina",1,0,1,1,0,1,"specialist","generalist","specialist","Aikawa_2024_spring"
"Acmaeodera_sp.",4,4,0,2,2,0,"generalist","generalist","generalist","Anu_2024_spring"
"Adela_flammeusella",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Adela_trigrapha",2,2,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Andrena_dissona",4,4,0,2,2,0,"generalist","generalist","generalist","Anu_2024_spring"
"Andrena_pallidifovea",11,11,0,4,4,0,"generalist","generalist","generalist","Anu_2024_spring"
"Andrena_pensilis",5,5,0,2,2,0,"generalist","generalist","generalist","Anu_2024_spring"
"Andrena_sp.",11,11,0,4,4,0,"generalist","generalist","generalist","Anu_2024_spring"
"Andrena_subchalybea",20,20,0,7,7,0,"generalist","generalist","generalist","Anu_2024_spring"
"Anthophora_californica",5,4,1,2,1,1,"generalist","specialist","specialist","Anu_2024_spring"
"Anthophora_crotchii",1,0,1,1,0,1,"specialist","generalist","specialist","Anu_2024_spring"
"Anthrenus_sp.",5,5,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Apis_mellifera",296,65,231,4,3,1,"generalist","generalist","specialist","Anu_2024_spring"
"BF1_Diptera",62,62,0,3,3,0,"generalist","generalist","generalist","Anu_2024_spring"
"Bombus_californicus",53,36,17,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Bombus_melanopygus",101,15,86,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Bombus_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Bombus_vosnesenskii",179,139,40,5,4,1,"generalist","generalist","specialist","Anu_2024_spring"
"Bombylius_major",53,53,0,5,5,0,"generalist","generalist","generalist","Anu_2024_spring"
"Braconidae",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Coenonympha_californica",64,59,5,4,3,1,"generalist","generalist","specialist","Anu_2024_spring"
"Cyrtopogon_sp.",49,49,0,2,2,0,"generalist","generalist","generalist","Anu_2024_spring"
"Elateridae",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Erynnis_propertius",3,2,1,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Eucera_actuosa",62,58,4,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Eucera_frater_albopilosa",6,5,1,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Glaucophysche_lygdamus",12,8,4,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Heliolonche_modiella",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Helithodes_dimutiva",7,7,0,3,3,0,"generalist","generalist","generalist","Anu_2024_spring"
"Ichneumonidae",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Listrus_sp._1",134,134,0,7,7,0,"generalist","generalist","generalist","Anu_2024_spring"
"Malachius_sp.",4,4,0,2,2,0,"generalist","generalist","generalist","Anu_2024_spring"
"Muscidae",6,5,1,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Nomada_hesperia",9,9,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Osmia_cara",65,63,2,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Osmia_nemoris",7,7,0,2,2,0,"generalist","generalist","generalist","Anu_2024_spring"
"Osmia_sp.",13,11,2,3,2,1,"generalist","generalist","specialist","Anu_2024_spring"
"Panurginus_sp.",3,3,0,2,2,0,"generalist","generalist","generalist","Anu_2024_spring"
"Polistes_aurifer",2,2,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"reddish_Sphaerophoria_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Scaeva_affinis",3,3,0,3,3,0,"generalist","generalist","generalist","Anu_2024_spring"
"Sphaerophoria_sp.",5,4,1,4,3,1,"generalist","generalist","specialist","Anu_2024_spring"
"Sphex_sp.",1,0,1,1,0,1,"specialist","generalist","specialist","Anu_2024_spring"
"Xylocopa_sonorina",1,0,1,1,0,1,"specialist","generalist","specialist","Anu_2024_spring"
"Xylocopa_tabaniformis",1,1,0,1,1,0,"specialist","specialist","generalist","Anu_2024_spring"
"Anthidium_edwardsii",2,2,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Anthophorula_chionura",2,2,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Apis_mellifera",22,22,0,5,5,0,"generalist","generalist","generalist","Banana_2022_summer"
"Ashmeadiella_aridula_astragali",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"BF1_Diptera",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Bombus_vosnesenskii",182,182,0,8,8,0,"generalist","generalist","generalist","Banana_2022_summer"
"Brachysomida_californica",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Braconidae",9,9,0,4,4,0,"generalist","generalist","generalist","Banana_2022_summer"
"Curculionidae",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Diabrotica_undecimpunctata",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Eristalis_stipador",3,3,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Geron_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"gray_Bombyliidae",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Halictidae",4,4,0,2,2,0,"generalist","generalist","generalist","Banana_2022_summer"
"Halictus_farinosus",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Halictus_ligatus",17,17,0,4,4,0,"generalist","generalist","generalist","Banana_2022_summer"
"Halictus_tripartitus",5,5,0,4,4,0,"generalist","generalist","generalist","Banana_2022_summer"
"Heliothodes_diminutivus",17,17,0,3,3,0,"generalist","generalist","generalist","Banana_2022_summer"
"Icaricia_acmon",4,4,0,2,2,0,"generalist","generalist","generalist","Banana_2022_summer"
"Lasioglossum (Sphecodogastra) sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Lasioglossum_incompletum",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Megachile_apicalis",4,4,0,3,3,0,"generalist","generalist","generalist","Banana_2022_summer"
"Melissodes_lupina",41,41,0,4,4,0,"generalist","generalist","generalist","Banana_2022_summer"
"Melissodes_robustior",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Peponapis_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Polistes_aurifer",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Sphaerophoria_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Sphex_ichneumoneus",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Strymon_melinus",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Tachinidae",1,1,0,1,1,0,"specialist","specialist","generalist","Banana_2022_summer"
"Villa_sp.",4,4,0,2,2,0,"generalist","generalist","generalist","Banana_2022_summer"
"Adela_eldorada",3,3,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Adela_flammeusella",4,4,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Adela_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Adela_trigrapha",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Andrena_baeriae",12,12,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Andrena_dissona",5,5,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Andrena_pensilis",36,36,0,3,3,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Andrena_sp.",32,32,0,3,3,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Andrena_subchalybea",63,63,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Andrena-mimic_Syrpid",3,3,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Anthidium_illustre",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Anthophora_californica",24,20,4,5,4,1,"generalist","generalist","specialist","Bertha_2022_spring"
"Apis_mellifera",19,6,13,4,2,2,"generalist","generalist","generalist","Bertha_2022_spring"
"Bombus_californicus",6,4,2,4,3,1,"generalist","generalist","specialist","Bertha_2022_spring"
"Bombus_melanopygus",17,7,10,6,5,1,"generalist","generalist","specialist","Bertha_2022_spring"
"Bombus_vosnesenskii",23,10,13,5,4,1,"generalist","generalist","specialist","Bertha_2022_spring"
"Bombylius_major",7,5,2,4,3,1,"generalist","generalist","specialist","Bertha_2022_spring"
"Braconidae",4,4,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Chrysoperla_sp.",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2022_spring"
"Coenonympha_californica",2,2,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Colias_eurytheme",3,1,2,2,1,1,"generalist","specialist","specialist","Bertha_2022_spring"
"Conophorus_fenestratus",34,34,0,4,4,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Cyrtopogon_sp.",12,12,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Diadasia_nigrifrons",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Elateridae",3,3,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Erynnis_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Eucera_actuosa",16,6,10,6,4,2,"generalist","generalist","generalist","Bertha_2022_spring"
"Eucera_frater_albopilosa",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Euopeodes_fumipennis",21,19,2,6,4,2,"generalist","generalist","generalist","Bertha_2022_spring"
"Habropoda_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Heliolonche_modiella",5,5,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Helithodes_dimutiva",6,6,0,3,3,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Hippodamia_convergens",5,5,0,4,4,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Junonia_grisea",11,11,0,6,6,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Listrus_sp.",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Listrus_sp._1",48,48,0,5,5,0,"generalist","generalist","generalist","Bertha_2022_spring"
"Muscidae",9,8,1,5,4,1,"generalist","generalist","specialist","Bertha_2022_spring"
"Nomada_hesperia",18,17,1,2,1,1,"generalist","specialist","specialist","Bertha_2022_spring"
"Osmia_cara",2,1,1,2,1,1,"generalist","specialist","specialist","Bertha_2022_spring"
"Panurginus_sp.",7,7,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Polistes_aurifer",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"red_Braconidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Scaeva_affinis",50,44,6,10,8,2,"generalist","generalist","generalist","Bertha_2022_spring"
"silver_moth_Lepidoptera",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_spring"
"Xylocopa_sp.",3,2,1,3,2,1,"generalist","generalist","specialist","Bertha_2022_spring"
"Anthidium_illustre",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Apis_mellifera",15,15,0,3,3,0,"generalist","generalist","generalist","Bertha_2022_summer"
"Argynnis",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Autographa_californica",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Bombus_californicus",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Bombus_crotchii",75,19,56,4,3,1,"generalist","generalist","specialist","Bertha_2022_summer"
"Bombus_vosnesenskii",437,398,39,9,6,3,"generalist","generalist","generalist","Bertha_2022_summer"
"Braconidae",3,3,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_summer"
"Chrysochus_colbaltinus",6,1,5,2,1,1,"generalist","specialist","specialist","Bertha_2022_summer"
"Coelixys_editus",2,2,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Curculionidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Danaus_plexippus",8,6,2,2,1,1,"generalist","specialist","specialist","Bertha_2022_summer"
"Dianthidium_dubium",8,8,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Eristalis_stipador",4,4,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Erynnis_tristus",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Euodyneras_hidalgo",3,3,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Geron_sp.",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"gray_Bombyliidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Halictus_ligatus",5,5,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_summer"
"Heliothodes_diminutivus",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Icaricia_acmon",6,5,1,3,2,1,"generalist","generalist","specialist","Bertha_2022_summer"
"Junonia_grisea",5,3,2,2,1,1,"generalist","specialist","specialist","Bertha_2022_summer"
"Lasioglossum_incompletum",4,4,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Lasioglossum_titusi",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Megachile-mimic_Syrphidae",3,3,0,2,2,0,"generalist","generalist","generalist","Bertha_2022_summer"
"Melissodes_lupina",27,27,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Phycoides_mytilla",4,4,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Polistes_aurifer",8,8,0,3,3,0,"generalist","generalist","generalist","Bertha_2022_summer"
"Strymon_melinus",6,2,4,3,2,1,"generalist","generalist","specialist","Bertha_2022_summer"
"Tachinidae",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Xeromelecta_californica",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2022_summer"
"Acmaeodera_sp.",6,6,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Adela_eldorada",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Andrena_dissona",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Andrena_pensilis",5,5,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Andrena_plana",3,3,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Andrena_sp.",3,3,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Andrena_subchalybea",22,22,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Anthophora_californica",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Apis_mellifera",71,3,68,4,2,2,"generalist","generalist","generalist","Bertha_2023_spring"
"Autographa_californica",4,4,0,3,3,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Bombus_californicus",6,4,2,2,1,1,"generalist","specialist","specialist","Bertha_2023_spring"
"Bombus_melanopygus",79,10,69,3,2,1,"generalist","generalist","specialist","Bertha_2023_spring"
"Bombus_vosnesenskii",18,7,11,2,1,1,"generalist","specialist","specialist","Bertha_2023_spring"
"Bombylius_major",19,19,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Coenonympha_californica",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Cyrtopogon_sp.",4,4,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Diadasia_bituberculata",2,2,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Elateridae",6,6,0,2,2,0,"generalist","generalist","generalist","Bertha_2023_spring"
"Eristalis_hirta",1,1,0,1,1,0,"specialist","specialist","generalist","Bertha_2023_spring"
"Eucera_actuosa",33,19,14,6,4,2,"generalist","generalist","generalist","Bertha_2023_spring"
"Eucera_frater_albopilosa",3,0,3,1,0,1,"specialist","generalist","specialist","Bertha_2023_spring"
"Euopeodes_fumipennis",10,3,7,4,2,2,"generalist","generalist","generalist","Bertha_2023_spring"
