"metric","site_year","raw_value","z.score","treatment","pvalue","significance"
"NODF","Quarry_1_2024",25.92236,1.330377467,"Quarry_1_2024",0.183393935,"not significant"
"NODF","Quarry_2_2024",24.33801,-0.723910728,"Quarry_2_2024",0.469120543,"not significant"
"NODF","Quarry_3_2024",37.01662,0.115655697,"Quarry_3_2024",0.907925419,"not significant"
"NODF","Quarry_4_2024",20.07114,1.056669356,"Quarry_4_2024",0.290662515,"not significant"
"NODF","Quarry_5_2024",33.28385,2.979876416,"Quarry_5_2024",0.002883647,"**"
"niche.overlap.LL","Bertha_2022",0.1102259,6.17622257,"Bertha_2022",6.57e-10,"***"
"niche.overlap.LL","Rock_2022",0.0886429,-2.329116471,"Rock_2022",0.019852896,"*"
"niche.overlap.LL","Quarry_2022",0.058042,-1.476427744,"Quarry_2022",0.139829099,"not significant"
"niche.overlap.LL","Goatgrass_2022",0.07786024,3.946175398,"Goatgrass_2022",7.94e-05,"***"
"niche.overlap.LL","Long_2022",0.03909738,-1.052435722,"Long_2022",0.292599687,"not significant"
"niche.overlap.LL","Aikawa_2022",0.08807615,-1.130594243,"Aikawa_2022",0.258225912,"not significant"
"niche.overlap.LL","Bertha_2023",0.08226362,1.520988008,"Bertha_2023",0.128262847,"not significant"
"niche.overlap.LL","Quarry1_2023",0.1239854,8.269189338,"Quarry1_2023",1.35e-16,"***"
"niche.overlap.LL","Rock_2023",0.2630887,0.39081874,"Rock_2023",0.695931222,"not significant"
"niche.overlap.LL","Rock_2024",0.1410354,0.365373898,"Rock_2024",0.714832323,"not significant"
"niche.overlap.LL","Upper_Grid_2_2024",0.5367458,4.33316373,"Upper_Grid_2_2024",1.47e-05,"***"
"niche.overlap.LL","Felch_2024",0.08578728,-0.156214831,"Felch_2024",0.875863687,"not significant"
"niche.overlap.LL","Coyote_24",0.05926044,-1.472882687,"Coyote_24",0.140782671,"not significant"
"niche.overlap.LL","Aikawa_2024",0.09947159,-0.223060233,"Aikawa_2024",0.823488628,"not significant"
"niche.overlap.LL","Goatgrass_2024",0.0623075,1.414135896,"Goatgrass_2024",0.157322005,"not significant"
"niche.overlap.LL","South_Goatgrass_2024",0.104912,-0.783748007,"South_Goatgrass_2024",0.433187987,"not significant"
"niche.overlap.LL","Anu_2024",0.1204932,0.029067216,"Anu_2024",0.976810982,"not significant"
"niche.overlap.LL","Quarry_1_2024",0.2518541,1.834297656,"Quarry_1_2024",0.066609822,"not significant"
"niche.overlap.LL","Quarry_2_2024",0.1184283,0.899630168,"Quarry_2_2024",0.368317097,"not significant"
"niche.overlap.LL","Quarry_3_2024",0.1002483,-1.336096768,"Quarry_3_2024",0.181517646,"not significant"
"niche.overlap.LL","Quarry_4_2024",0.09202617,0.271707909,"Quarry_4_2024",0.785846619,"not significant"
"niche.overlap.LL","Quarry_5_2024",0.1469954,-0.706211437,"Quarry_5_2024",0.480056659,"not significant"
"niche.overlap.HL","Bertha_2022",0.4798607,6.466939728,"Bertha_2022",1e-10,"***"
"niche.overlap.HL","Rock_2022",0.2751694,-2.121018828,"Rock_2022",0.033920218,"*"
"niche.overlap.HL","Quarry_2022",0.1927175,-1.066550635,"Quarry_2022",0.286174802,"not significant"
"niche.overlap.HL","Goatgrass_2022",0.3355468,9.074057703,"Goatgrass_2022",1.15e-19,"***"
"niche.overlap.HL","Long_2022",0.2198554,0.656216244,"Long_2022",0.511684999,"not significant"
"niche.overlap.HL","Aikawa_2022",0.2114262,-1.674345449,"Aikawa_2022",0.094062727,"not significant"
"niche.overlap.HL","Bertha_2023",0.1927932,4.698872057,"Bertha_2023",2.62e-06,"***"
"niche.overlap.HL","Quarry1_2023",0.1236605,6.613626233,"Quarry1_2023",3.75e-11,"***"
"niche.overlap.HL","Rock_2023",0.6300119,1.143203851,"Rock_2023",0.252953964,"not significant"
"niche.overlap.HL","Rock_2024",0.1769846,0.634914164,"Rock_2024",0.525484399,"not significant"
"niche.overlap.HL","Upper_Grid_2_2024",0.4435796,5.492433926,"Upper_Grid_2_2024",3.96e-08,"***"
"niche.overlap.HL","Felch_2024",0.2346711,0.531752786,"Felch_2024",0.594897227,"not significant"
"niche.overlap.HL","Coyote_24",0.2326316,-0.799554592,"Coyote_24",0.423968905,"not significant"
"niche.overlap.HL","Aikawa_2024",0.1730099,2.974870006,"Aikawa_2024",0.002931127,"**"
"niche.overlap.HL","Goatgrass_2024",0.4263538,9.757819227,"Goatgrass_2024",1.71e-22,"***"
"niche.overlap.HL","South_Goatgrass_2024",0.4315018,2.152242176,"South_Goatgrass_2024",0.031378285,"*"
"niche.overlap.HL","Anu_2024",0.356929,1.477708852,"Anu_2024",0.139485724,"not significant"
"niche.overlap.HL","Quarry_1_2024",0.3288072,5.352873576,"Quarry_1_2024",8.66e-08,"***"
"niche.overlap.HL","Quarry_2_2024",0.3439828,1.667592656,"Quarry_2_2024",0.095396617,"not significant"
"niche.overlap.HL","Quarry_3_2024",0.3810644,0.07432171,"Quarry_3_2024",0.940754403,"not significant"
"niche.overlap.HL","Quarry_4_2024",0.2673693,0.586829207,"Quarry_4_2024",0.557318419,"not significant"
"niche.overlap.HL","Quarry_5_2024",0.2961925,2.159098026,"Quarry_5_2024",0.030842563,"*"
"mean.number.of.shared.partners.LL","Bertha_2022",0.9142857,5.927097585,"Bertha_2022",3.08e-09,"***"
"mean.number.of.shared.partners.LL","Rock_2022",1.428571,0.093980768,"Rock_2022",0.925124434,"not significant"
"mean.number.of.shared.partners.LL","Quarry_2022",0.4761905,-0.320220532,"Quarry_2022",0.74880116,"not significant"
"mean.number.of.shared.partners.LL","Goatgrass_2022",0.4962121,3.241088485,"Goatgrass_2022",0.001190742,"**"
"mean.number.of.shared.partners.LL","Long_2022",0.5210526,3.312484466,"Long_2022",0.000924713,"***"
"mean.number.of.shared.partners.LL","Aikawa_2022",0.4861538,-0.110862543,"Aikawa_2022",0.911725348,"not significant"
"mean.number.of.shared.partners.LL","Bertha_2023",0.5614035,1.90097007,"Bertha_2023",0.057305933,"not significant"
"mean.number.of.shared.partners.LL","Quarry1_2023",0.4928775,2.78452757,"Quarry1_2023",0.005360576,"**"
"mean.number.of.shared.partners.LL","Rock_2023",0.4444444,0.062188391,"Rock_2023",0.950412807,"not significant"
"mean.number.of.shared.partners.LL","Rock_2024",0.5833333,0.145048887,"Rock_2024",0.884672274,"not significant"
"mean.number.of.shared.partners.LL","Upper_Grid_2_2024",0.9333333,2.34945652,"Upper_Grid_2_2024",0.01880084,"*"
"mean.number.of.shared.partners.LL","Felch_2024",0.5,-1.795846465,"Felch_2024",0.072518939,"not significant"
"mean.number.of.shared.partners.LL","Coyote_24",0.3818182,-1.060515457,"Coyote_24",0.288910162,"not significant"
"mean.number.of.shared.partners.LL","Aikawa_2024",0.5555556,1.728211332,"Aikawa_2024",0.083950343,"not significant"
"mean.number.of.shared.partners.LL","Goatgrass_2024",0.447619,0.332578439,"Goatgrass_2024",0.739452521,"not significant"
"mean.number.of.shared.partners.LL","South_Goatgrass_2024",1.2,0.509803205,"South_Goatgrass_2024",0.61018934,"not significant"
"mean.number.of.shared.partners.LL","Anu_2024",1.538462,0.029245409,"Anu_2024",0.976668866,"not significant"
"mean.number.of.shared.partners.LL","Quarry_1_2024",1.535714,2.469452991,"Quarry_1_2024",0.01353198,"*"
"mean.number.of.shared.partners.LL","Quarry_2_2024",0.8571429,1.607396898,"Quarry_2_2024",0.10796733,"not significant"
"mean.number.of.shared.partners.LL","Quarry_3_2024",1.066667,-0.767830256,"Quarry_3_2024",0.442588037,"not significant"
"mean.number.of.shared.partners.LL","Quarry_4_2024",0.25,0.107267287,"Quarry_4_2024",0.914576936,"not significant"
"mean.number.of.shared.partners.LL","Quarry_5_2024",1.361111,1.216881402,"Quarry_5_2024",0.223649343,"not significant"
"mean.number.of.shared.partners.HL","Bertha_2022",0.7221681,6.622281788,"Bertha_2022",3.54e-11,"***"
"mean.number.of.shared.partners.HL","Rock_2022",0.6772487,-0.392199823,"Rock_2022",0.694910575,"not significant"
"mean.number.of.shared.partners.HL","Quarry_2022",0.3288462,-1.318882397,"Quarry_2022",0.187208432,"not significant"
"mean.number.of.shared.partners.HL","Goatgrass_2022",0.5860404,6.034779403,"Goatgrass_2022",1.59e-09,"***"
"mean.number.of.shared.partners.HL","Long_2022",0.3648764,-0.205898362,"Long_2022",0.836870305,"not significant"
"mean.number.of.shared.partners.HL","Aikawa_2022",0.3975962,-1.815595225,"Aikawa_2022",0.069432487,"not significant"
"mean.number.of.shared.partners.HL","Bertha_2023",0.3635814,4.21815267,"Bertha_2023",2.46e-05,"***"
"mean.number.of.shared.partners.HL","Quarry1_2023",0.2820988,7.671082978,"Quarry1_2023",1.71e-14,"***"
"mean.number.of.shared.partners.HL","Rock_2023",0.6736842,0.686182148,"Rock_2023",0.492598254,"not significant"
"mean.number.of.shared.partners.HL","Rock_2024",0.2857143,0.253357997,"Rock_2024",0.799991582,"not significant"
"mean.number.of.shared.partners.HL","Upper_Grid_2_2024",0.5686275,3.469718317,"Upper_Grid_2_2024",0.000521004,"***"
"mean.number.of.shared.partners.HL","Felch_2024",0.3314394,-0.850587109,"Felch_2024",0.394998753,"not significant"
"mean.number.of.shared.partners.HL","Coyote_24",0.3419355,-0.735459799,"Coyote_24",0.462059515,"not significant"
"mean.number.of.shared.partners.HL","Aikawa_2024",0.2539683,3.346451292,"Aikawa_2024",0.000818531,"***"
"mean.number.of.shared.partners.HL","Goatgrass_2024",0.6037736,10.25936891,"Goatgrass_2024",1.07e-24,"***"
"mean.number.of.shared.partners.HL","South_Goatgrass_2024",0.5810811,1.64896521,"South_Goatgrass_2024",0.099154762,"not significant"
"mean.number.of.shared.partners.HL","Anu_2024",0.8895877,0.866045492,"Anu_2024",0.386465215,"not significant"
"mean.number.of.shared.partners.HL","Quarry_1_2024",0.4970964,4.06535749,"Quarry_1_2024",4.8e-05,"***"
"mean.number.of.shared.partners.HL","Quarry_2_2024",0.4669366,0.444304158,"Quarry_2_2024",0.656822695,"not significant"
"mean.number.of.shared.partners.HL","Quarry_3_2024",0.6086957,-0.429816961,"Quarry_3_2024",0.667328794,"not significant"
"mean.number.of.shared.partners.HL","Quarry_4_2024",0.3619048,0.664434181,"Quarry_4_2024",0.506412462,"not significant"
"mean.number.of.shared.partners.HL","Quarry_5_2024",0.5439408,2.787454474,"Quarry_5_2024",0.005312392,"**"
"NODFc","Long_2022",3.161689,NA,"",NA,""
"NODFc","Aikawa_2022",3.408438,NA,"",NA,""
"NODFc","Bertha_2022",3.877098,NA,"",NA,""
"NODFc","Rock_2022",2.268061,NA,"",NA,""
"NODFc","Quarry_2022",2.590552,NA,"",NA,""
"NODFc","Rock_2023",4.532132,NA,"",NA,""
"NODFc","Bertha_2023",2.584716,NA,"",NA,""
"NODFc","Quarry1_2023",2.407015,NA,"",NA,""
"NODFc","Aikawa_2024",2.783089,NA,"",NA,""
"NODFc","Felch_2024",1.808331,NA,"",NA,""
"NODFc","Coyote_24",3.466347,NA,"",NA,""
"NODFc","South_Goatgrass_2024",2.400281,NA,"",NA,""
"NODFc","Goatgrass_2024",4.427267,NA,"",NA,""
"NODFc","Quarry_1_2024",1.878669,NA,"",NA,""
"NODFc","Quarry_2_2024",2.526136,NA,"",NA,""
"NODFc","Quarry_3_2024",2.451212,NA,"",NA,""
"NODFc","Quarry_4_2024",4.124033,NA,"",NA,""
"NODFc","Quarry_5_2024",2.558066,NA,"",NA,""
"NODFc","Anu_2024",2.401292,NA,"",NA,""
"NODFc","Rock_2024",2.103093,NA,"",NA,""
"NODFc","Upper_Grid_2_2024",3.329538,NA,"",NA,""
"NODFc","Goatgrass_2022",3.536853,NA,"",NA,""
"VIVI_on_TRFU","Bertha_2022",0.3599148,NA,"",NA,""
"VIVI_on_TRFU","Goatgrass_2022",0.2646665,NA,"",NA,""
"VIVI_on_TRFU","Long_2022",0.6670367,NA,"",NA,""
"VIVI_on_TRFU","Rock_2022",0.2748928,NA,"",NA,""
"VIVI_on_TRFU","Aikawa_2022",0.107023,NA,"",NA,""
"VIVI_on_TRFU","Quarry_2022",0.02735547,NA,"",NA,""
"VIVI_on_TRFU","Bertha_2023",0,NA,"",NA,""
"VIVI_on_TRFU","Quarry1_2023",0,NA,"",NA,""
"VIVI_on_TRFU","Rock_2023",0.1333333,NA,"",NA,""
"VIVI_on_TRFU","Rock_2024",0.03525641,NA,"",NA,""
"VIVI_on_TRFU","Upper_Grid_2_2024",0.01927711,NA,"",NA,""
"VIVI_on_TRFU","Anu_2024",0.231698,NA,"",NA,""
"VIVI_on_TRFU","Quarry_1_2024",0.05400155,NA,"",NA,""
"VIVI_on_TRFU","Quarry_2_2024",0.2032967,NA,"",NA,""
"VIVI_on_TRFU","Quarry_3_2024",0.1522027,NA,"",NA,""
"VIVI_on_TRFU","Quarry_4_2024",0.03950617,NA,"",NA,""
"VIVI_on_TRFU","Quarry_5_2024",0.003350084,NA,"",NA,""
"VIVI_on_TRFU","Goatgrass_2024",0.1796878,NA,"",NA,""
"VIVI_on_TRFU","South_Goatgrass_2024",0.2646863,NA,"",NA,""
"VIVI_on_TRFU","Aikawa_2024",0,NA,"",NA,""
"VIVI_on_TRFU","Felch_2024",0.3298985,NA,"",NA,""
"VIVI_on_TRFU","Coyote_24",0.6381596,NA,"",NA,""
"Ind_Contribution_VIVI","Bertha_2022",-0.78214432,NA,"",NA,""
"Ind_Contribution_VIVI","Quarry_2022",-0.78021664,NA,"",NA,""
"Ind_Contribution_VIVI","Rock_2022",2.3880674,NA,"",NA,""
"Ind_Contribution_VIVI","Long_2022",4.38104256,NA,"",NA,""
"Ind_Contribution_VIVI","Goatgrass_2022",2.34862014,NA,"",NA,""
"Ind_Contribution_VIVI","Aikawa_2022",3.14677231,NA,"",NA,""
"Ind_Contribution_VIVI","Rock_2023",0.8108507,NA,"",NA,""
"Ind_Contribution_VIVI","Quarry1_2023",1.7566685,NA,"",NA,""
"Ind_Contribution_VIVI","Bertha_2023",3.3486721,NA,"",NA,""
"Ind_Contribution_VIVI","Rock_2024",0.7466844,NA,"",NA,""
"Ind_Contribution_VIVI","Upper_Grid_2_2024",1.1722598,NA,"",NA,""
"Ind_Contribution_VIVI","Goatgrass_2024",NA,NA,"",NA,""
"Ind_Contribution_VIVI","Felch_2024",0.8881326,NA,"",NA,""
"Ind_Contribution_VIVI","Coyote_24",2.41341805,NA,"",NA,""
"Ind_Contribution_VIVI","Aikawa_2024",0.8050443,NA,"",NA,""
"Ind_Contribution_VIVI","Anu_2024",1.34747168,NA,"",NA,""
"Ind_Contribution_VIVI","Quarry_1_2024",0.1186426,NA,"",NA,""
"Ind_Contribution_VIVI","Quarry_2_2024",1.434584,NA,"",NA,""
"Ind_Contribution_VIVI","Quarry_3_2024",2.5028601,NA,"",NA,""
"Ind_Contribution_VIVI","Quarry_4_2024",2.01811923,NA,"",NA,""
"Ind_Contribution_VIVI","Quarry_5_2024",-0.5511136,NA,"",NA,""
"Ind_Contribution_TRFU","Bertha_2022",-1.3556305,NA,"",NA,""
"Ind_Contribution_TRFU","Quarry_2022",3.51222188,NA,"",NA,""
"Ind_Contribution_TRFU","Rock_2022",1.0893776,NA,"",NA,""
"Ind_Contribution_TRFU","Long_2022",3.40756589,NA,"",NA,""
"Ind_Contribution_TRFU","Goatgrass_2022",1.66511125,NA,"",NA,""
"Ind_Contribution_TRFU","Aikawa_2022",5.75986416,NA,"",NA,""
"Ind_Contribution_TRFU","Rock_2023",-0.5379677,NA,"",NA,""
"Ind_Contribution_TRFU","Quarry1_2023",1.4637926,NA,"",NA,""
"Ind_Contribution_TRFU","Bertha_2023",0.5726574,NA,"",NA,""
"Ind_Contribution_TRFU","Rock_2024",2.0394519,NA,"",NA,""
"Ind_Contribution_TRFU","Upper_Grid_2_2024",0.6646785,NA,"",NA,""
"Ind_Contribution_TRFU","Goatgrass_2024",NA,NA,"",NA,""
"Ind_Contribution_TRFU","Felch_2024",-0.2311737,NA,"",NA,""
"Ind_Contribution_TRFU","Coyote_24",1.1487481,NA,"",NA,""
"Ind_Contribution_TRFU","Aikawa_2024",-1.3295435,NA,"",NA,""
"Ind_Contribution_TRFU","Anu_2024",3.99772061,NA,"",NA,""
"Ind_Contribution_TRFU","Quarry_1_2024",-0.7756569,NA,"",NA,""
"Ind_Contribution_TRFU","Quarry_2_2024",0.6303974,NA,"",NA,""
"Ind_Contribution_TRFU","Quarry_3_2024",2.215972,NA,"",NA,""
"Ind_Contribution_TRFU","Quarry_4_2024",1.63150456,NA,"",NA,""
"Ind_Contribution_TRFU","Quarry_5_2024",3.4334342,NA,"",NA,""
"Ind_Contribution_TRFU","South_Goatgrass_2024",-0.208669,NA,"",NA,""
"Ind_Contribution_VIVI","South_Goatgrass_2024",-0.7001362,NA,"",NA,""
"TRFU_on_VIVI","Bertha_2022",0.1551357,NA,"",NA,""
"TRFU_on_VIVI","Goatgrass_2022",0.03555221,NA,"",NA,""
"TRFU_on_VIVI","Long_2022",0.1591942,NA,"",NA,""
"TRFU_on_VIVI","Rock_2022",0.4433754,NA,"",NA,""
"TRFU_on_VIVI","Aikawa_2022",0.6020044,NA,"",NA,""
"TRFU_on_VIVI","Quarry_2022",0.5297013,NA,"",NA,""
"TRFU_on_VIVI","Bertha_2023",0,NA,"",NA,""
"TRFU_on_VIVI","Rock_2023",0.01149425,NA,"",NA,""
"TRFU_on_VIVI","Rock_2024",0.04700855,NA,"",NA,""
"TRFU_on_VIVI","Upper_Grid_2_2024",0.02191781,NA,"",NA,""
"TRFU_on_VIVI","Anu_2024",0.2745621,NA,"",NA,""
"TRFU_on_VIVI","Quarry_1_2024",0.04387626,NA,"",NA,""
"TRFU_on_VIVI","Quarry_2_2024",0.03500473,NA,"",NA,""
"TRFU_on_VIVI","Quarry_3_2024",0.09328554,NA,"",NA,""
"TRFU_on_VIVI","Quarry_4_2024",0.08888889,NA,"",NA,""
"TRFU_on_VIVI","Quarry_5_2024",0.1111111,NA,"",NA,""
"TRFU_on_VIVI","Goatgrass_2024",0.1475049,NA,"",NA,""
"TRFU_on_VIVI","South_Goatgrass_2024",0.01137324,NA,"",NA,""
"TRFU_on_VIVI","Aikawa_2024",0,NA,"",NA,""
"TRFU_on_VIVI","Felch_2024",0.1832769,NA,"",NA,""
"TRFU_on_VIVI","Coyote_24",0.02063016,NA,"",NA,""
"weighted NODF","Bertha_2022_summer",10.54703,-1.916344393,"Bertha_2022",0.055321274,"not significant"
"weighted NODF","Randy_2022",23.08574,0.422723776,"Randy_2022",0.672496807,"not significant"
"weighted NODF","Quarry_Close_2022",27.84326,0.83145357,"Quarry_Close_2022",0.405717447,"not significant"
"weighted NODF","Quarry_Far_2022",24.74507,-0.64488474,"Quarry_Far_2022",0.519001882,"not significant"
"weighted NODF","Banana_2022",21.40885,-1.395142777,"Banana_2022",0.162972789,"not significant"
"weighted NODF","Lower_Banana_2022",14.693,0.291279028,"Lower_Banana_2022",0.770837925,"not significant"
"weighted NODF","Aikawa_2022_summer",17.15258,4.651654288,"Aikawa_2022",3.29e-06,"***"
"weighted NODF","Vineyard_2022",17.40278,-0.402054294,"Vineyard_2022",0.687644069,"not significant"
"weighted NODF","Pond_2022",16.67565,-1.550101571,"Pond_2022",0.121117139,"not significant"
"weighted NODF","Bertha_2023_summer",19.98157,2.725792549,"Bertha_2023",0.00641473,"**"
"weighted NODF","Randy_2023",18.54256,0.960348785,"Randy_2023",0.336879705,"not significant"
"weighted NODF","Pond_2023",20.12609,1.277942279,"Pond_2023",0.201269779,"not significant"
"weighted NODF","Quarry_Close_2023",33.30253,-0.009248372,"Quarry_Close_2023",0.992620972,"not significant"
"weighted NODF","Quarry_Far_2023",27.37961,0.345412526,"Quarry_Far_2023",0.729784262,"not significant"
"weighted NODF","Bertha_2024",16.42878,-1.051581021,"Bertha_2024",0.292991819,"not significant"
"weighted NODF","Vineyard_2024",20.63271,1.385823715,"Vineyard_2024",0.165800739,"not significant"
"weighted NODF","Pond_2024",19.94709,-1.204323669,"Pond_2024",0.228464502,"not significant"
"weighted NODF","Quarry_Close_2024",35.3205,2.144155415,"Quarry_Close_2024",0.032020436,"*"
"weighted NODF","Quarry_Far_2024",21.72619,-1.311138544,"Quarry_Far_2024",0.189810961,"not significant"
"NODF","Bertha_2022_summer",25.63448,2.00060031,"Bertha_2022",0.04543548,"*"
"NODF","Randy_2022",34.90145,0.378450673,"Randy_2022",0.705095831,"not significant"
"NODF","Quarry_Close_2022",42.38427,2.02410486,"Quarry_Close_2022",0.042959364,"*"
"NODF","Quarry_Far_2022",36.56798,-0.609822727,"Quarry_Far_2022",0.541979245,"not significant"
"NODF","Banana_2022",36.97478,0.861641245,"Banana_2022",0.388884967,"not significant"
"NODF","Lower_Banana_2022",26.12937,2.183076526,"Lower_Banana_2022",0.029030175,"*"
"NODF","Aikawa_2022_summer",26.97106,5.368505773,"Aikawa_2022",7.94e-08,"***"
"NODF","Vineyard_2022",31.61458,1.069389591,"Vineyard_2022",0.284894156,"not significant"
"NODF","Pond_2022",31.2192,1.41344913,"Pond_2022",0.157523709,"not significant"
"NODF","Bertha_2023_summer",32.37067,6.081843353,"Bertha_2023",1.19e-09,"***"
"NODF","Randy_2023",32.21805,2.386760156,"Randy_2023",0.016997576,"*"
"NODF","Pond_2023",30.37084,3.133945395,"Pond_2023",0.001724729,"**"
"NODF","Quarry_Close_2023",49.80559,1.914884032,"Quarry_Close_2023",0.055507295,"not significant"
"NODF","Quarry_Far_2023",43.05645,2.814261628,"Quarry_Far_2023",0.004888942,"**"
"NODF","Bertha_2024",34.28579,3.950485555,"Bertha_2024",7.8e-05,"***"
"NODF","Vineyard_2024",30.45477,2.870288989,"Vineyard_2024",0.004100968,"**"
"NODF","Pond_2024",38.62434,1.326610648,"Pond_2024",0.184637512,"not significant"
"NODF","Quarry_Close_2024",44.77292,2.879788504,"Quarry_Close_2024",0.00397942,"**"
"NODF","Quarry_Far_2024",43.75,0.500782748,"Quarry_Far_2024",0.616524028,"not significant"
"niche.overlap.LL","Bertha_2022_summer",0.2826499,1.399821349,"Bertha_2022",0.161566823,"not significant"
"niche.overlap.LL","Randy_2022",0.2303291,-0.384604273,"Randy_2022",0.700530628,"not significant"
"niche.overlap.LL","Quarry_Close_2022",0.2351537,-0.171206487,"Quarry_Close_2022",0.864061407,"not significant"
"niche.overlap.LL","Quarry_Far_2022",0.2551283,-0.86956774,"Quarry_Far_2022",0.384536674,"not significant"
"niche.overlap.LL","Banana_2022",0.3160716,-0.622156564,"Banana_2022",0.533838924,"not significant"
"niche.overlap.LL","Lower_Banana_2022",0.2198925,1.313271593,"Lower_Banana_2022",0.189091447,"not significant"
"niche.overlap.LL","Aikawa_2022_summer",0.6578156,4.242190638,"Aikawa_2022",2.21e-05,"***"
"niche.overlap.LL","Vineyard_2022",0.3044431,0.12570863,"Vineyard_2022",0.89996257,"not significant"
"niche.overlap.LL","Pond_2022",0.1869751,-0.067909803,"Pond_2022",0.945857435,"not significant"
"niche.overlap.LL","Bertha_2023_summer",0.1589659,-0.846721979,"Bertha_2023",0.397150105,"not significant"
"niche.overlap.LL","Randy_2023",0.106188,0.357929975,"Randy_2023",0.720395718,"not significant"
"niche.overlap.LL","Pond_2023",0.1606569,2.017931051,"Pond_2023",0.043598443,"*"
"niche.overlap.LL","Quarry_Close_2023",0.2429646,-0.268973669,"Quarry_Close_2023",0.787949945,"not significant"
"niche.overlap.LL","Quarry_Far_2023",0.2245367,-1.227241928,"Quarry_Far_2023",0.219731675,"not significant"
"niche.overlap.LL","Bertha_2024",0.1053526,-0.558161454,"Bertha_2024",0.57673414,"not significant"
"niche.overlap.LL","Vineyard_2024",0.2232611,0.16015371,"Vineyard_2024",0.872759992,"not significant"
"niche.overlap.LL","Pond_2024",0.1312982,-1.273954813,"Pond_2024",0.202679431,"not significant"
"niche.overlap.LL","Quarry_Close_2024",0.2126964,0.573193521,"Quarry_Close_2024",0.566513671,"not significant"
