"Site","Year","PLANT","mean_floral_abundance"
"Aikawa",2024,"ERGU",6.4
"Aikawa",2024,"EUSP",50
"Aikawa",2024,"GEDI",17.5
"Aikawa",2024,"LACA",84.4
"Aikawa",2024,"LUBI",1
"Aikawa",2024,"MEIN",16.5
"Aikawa",2024,"MEPO",19.6666666666667
"Aikawa",2024,"MICA",158
"Aikawa",2024,"NEPE",1
"Aikawa",2024,"RACA",26.2
"Aikawa",2024,"SIBE",30
"Aikawa",2024,"Sidalcea",20.75
"Aikawa",2024,"TRBI",1
"Aikawa",2024,"TRFU",109.6
"Aikawa",2024,"TRHI",37.4
"Aikawa",2024,"TRLA",4
"Aikawa",2024,"VIVI",541.2
"Aikawa",2024,"WYAN",135.6
"Anu",2024,"ACMO",142
"Anu",2024,"ACWR",21
"Anu",2024,"AGHE",24
"Anu",2024,"ALAM",76
"Anu",2024,"ANFI",300
"Anu",2024,"ASGA",1
"Anu",2024,"CADE",2
"Anu",2024,"CARU",150
"Anu",2024,"COSP",61
"Anu",2024,"DICA",53
"Anu",2024,"DICI",21
"Anu",2024,"ERCI",3
"Anu",2024,"EUSP",40
"Anu",2024,"FRPV",1
"Anu",2024,"LACA",50575
"Anu",2024,"LIBI",2
"Anu",2024,"LIDI",22
"Anu",2024,"LOHO",31
"Anu",2024,"LUBI",61
"Anu",2024,"MICA",2745
"Anu",2024,"MIDO",177
"Anu",2024,"PLER",6610
"Anu",2024,"RACA",78
"Anu",2024,"SIBE",3
"Anu",2024,"TRBI",277
"Anu",2024,"TRFU",20700
"Anu",2024,"TRLA",1400
"Anu",2024,"TRWI",2
"Anu",2024,"VIDO",26
"Anu",2024,"VIVI",2900
"Anu_1",2024,"ACMO",33.3333333333333
"Anu_1",2024,"ACWR",13.25
"Anu_1",2024,"AGHE",2
"Anu_1",2024,"ALAM",6.4
"Anu_1",2024,"ANFI",40
"Anu_1",2024,"ASBR",10
"Anu_1",2024,"CADE",1
"Anu_1",2024,"CARU",1
"Anu_1",2024,"COSP",45
"Anu_1",2024,"DICA",9.8
"Anu_1",2024,"ERCI",1
"Anu_1",2024,"GITR",261.666666666667
"Anu_1",2024,"LACA",640
"Anu_1",2024,"LIDI",42
"Anu_1",2024,"LUBI",7.8
"Anu_1",2024,"MICA",440
"Anu_1",2024,"MIDO",1
"Anu_1",2024,"PLER",142
"Anu_1",2024,"PLNO",80
"Anu_1",2024,"RACA",21.8
"Anu_1",2024,"RILE",20.3333333333333
"Anu_1",2024,"TRBI",7
"Anu_1",2024,"TRFU",725
"Anu_1",2024,"TRHI",10
"Anu_1",2024,"VIDO",4.33333333333333
"Anu_1",2024,"VIVI",2625
"Anu_2",2024,"ACMO",10.3333333333333
"Anu_2",2024,"ACWR",6
"Anu_2",2024,"AGHE",10
"Anu_2",2024,"ALAM",4
"Anu_2",2024,"ANFI",63.3333333333333
"Anu_2",2024,"CARU",28
"Anu_2",2024,"COSP",4
"Anu_2",2024,"DICA",22.3333333333333
"Anu_2",2024,"EUSP",40
"Anu_2",2024,"LACA",516
"Anu_2",2024,"LAMI",20
"Anu_2",2024,"LOHO",1
"Anu_2",2024,"LUBI",5.5
"Anu_2",2024,"MICA",50
"Anu_2",2024,"MIDO",100
"Anu_2",2024,"PLER",100
"Anu_2",2024,"RACA",24.8
"Anu_2",2024,"TRBI",9.5
"Anu_2",2024,"TRFU",1883.33333333333
"Anu_2",2024,"TRLA",628
"Anu_2",2024,"VIVI",380
"Anu_3",2024,"ACMO",16
"Anu_3",2024,"AGHE",20.3333333333333
"Anu_3",2024,"CARU",35.4
"Anu_3",2024,"DICA",122
"Anu_3",2024,"EUSP",4.75
"Anu_3",2024,"LACA",343
"Anu_3",2024,"LAMI",500
"Anu_3",2024,"LUBI",5
"Anu_3",2024,"MIDO",50.5
"Anu_3",2024,"PLER",30
"Anu_3",2024,"RACA",31.6
"Anu_3",2024,"SIBE",132.5
"Anu_3",2024,"TRBI",4.66666666666667
"Anu_3",2024,"TRFU",2716.66666666667
"Anu_3",2024,"TRLA",1670
"Anu_3",2024,"VIVI",358.833333333333
"Anu_4",2024,"ACBR",1
"Anu_4",2024,"ACMO",5.5
"Anu_4",2024,"ACWR",25
"Anu_4",2024,"AGHE",21
"Anu_4",2024,"ALAM",13
"Anu_4",2024,"ANFI",120
"Anu_4",2024,"ASGA",4
"Anu_4",2024,"CADE",4
"Anu_4",2024,"CARU",60.5
"Anu_4",2024,"COSP",69.3333333333333
"Anu_4",2024,"DICA",210.25
"Anu_4",2024,"ERCI",1
"Anu_4",2024,"ERGU",1
"Anu_4",2024,"EUSP",107
"Anu_4",2024,"LACA",31102
"Anu_4",2024,"LEBI",21
"Anu_4",2024,"LIDI",2.5
"Anu_4",2024,"LOHO",15
"Anu_4",2024,"LUBI",45
"Anu_4",2024,"MEPO",1
"Anu_4",2024,"MICA",126.666666666667
"Anu_4",2024,"MIDO",1
"Anu_4",2024,"PLER",872
"Anu_4",2024,"RACA",50
"Anu_4",2024,"RILE",15
"Anu_4",2024,"SIBE",60
"Anu_4",2024,"SOAS",1
"Anu_4",2024,"TOFR",1
"Anu_4",2024,"TRBI",2
"Anu_4",2024,"TRFU",9775
"Anu_4",2024,"TRHI",13.6666666666667
"Anu_4",2024,"TRLA",1329.6
"Anu_4",2024,"URLI",2
"Anu_4",2024,"VIDO",5.8
"Anu_4",2024,"VIVI",1136.66666666667
"Base_of_Hill",2022,"AMME",5.5
"Base_of_Hill",2022,"DICA",10
"Base_of_Hill",2022,"LUMI",15
"Base_of_Hill",2022,"LUSU",580
"Base_of_Hill",2022,"TRHI",2
"Base_of_Hill",2022,"TRLA",20
"Base_of_Hill",2022,"VIVI",170
"Bertha",2022,"ACBR",30
"Bertha",2022,"ACMO",22
"Bertha",2022,"ACWR",82
"Bertha",2022,"AGHE",80
"Bertha",2022,"AMME",262.8
"Bertha",2022,"ANAR",137.5
"Bertha",2022,"ANFI",3089
"Bertha",2022,"ASBR",25.25
"Bertha",2022,"CAME",17.3333333333333
"Bertha",2022,"CARU",4.33333333333333
"Bertha",2022,"CRHI",20
"Bertha",2022,"DEVA",2
"Bertha",2022,"DICA",99.2
"Bertha",2022,"ERBO",40
"Bertha",2022,"ERCI",248
"Bertha",2022,"ERGU",10
"Bertha",2022,"EUCR",522.5
"Bertha",2022,"GICA",15
"Bertha",2022,"GITR",520
"Bertha",2022,"LACA",11154.4
"Bertha",2022,"LAMI",2
"Bertha",2022,"LUBI",432.8
"Bertha",2022,"LUMI",433.6
"Bertha",2022,"LUNA",70
"Bertha",2022,"LUSU",82.4
"Bertha",2022,"MEIN",53
"Bertha",2022,"MEPO",72.5
"Bertha",2022,"MICA",950
"Bertha",2022,"PLER",6606
"Bertha",2022,"PLNO",70.6666666666667
"Bertha",2022,"RACA",120.75
"Bertha",2022,"SIBE",50
"Bertha",2022,"THCA",12.3333333333333
"Bertha",2022,"TOFR",1.5
"Bertha",2022,"TRAL",15
"Bertha",2022,"TRER",20
"Bertha",2022,"TRFU",696.8
"Bertha",2022,"TRHI",24.25
"Bertha",2022,"TRLA",224
"Bertha",2022,"TROS",3
"Bertha",2022,"TRWI",46.6666666666667
"Bertha",2022,"VIVI",1329.6
"Bertha",2023,"ACMO",1876
"Bertha",2023,"ACWR",15.75
"Bertha",2023,"AGBR",2
"Bertha",2023,"AGHE",142.2
"Bertha",2023,"AGTA",1
"Bertha",2023,"AMME",19
"Bertha",2023,"ANAR",28.3333333333333
"Bertha",2023,"ANFI",2950
"Bertha",2023,"ASBR",10
"Bertha",2023,"ASGA",3
"Bertha",2023,"CAAT",60
"Bertha",2023,"CARU",6.5
"Bertha",2023,"CRHI",20
"Bertha",2023,"DEVA",9.33333333333333
"Bertha",2023,"DICA",3
"Bertha",2023,"ERBO",2
"Bertha",2023,"ERCI",315.6
"Bertha",2023,"ERGU",28.6666666666667
"Bertha",2023,"ESCA",1
"Bertha",2023,"EUSP",729.166666666667
"Bertha",2023,"GEDI",6.5
"Bertha",2023,"LACA",832.166666666667
"Bertha",2023,"LACH",2
"Bertha",2023,"LAMI",41
"Bertha",2023,"LUMI",747.333333333333
"Bertha",2023,"LUNA",3
"Bertha",2023,"LUSU",19.8333333333333
"Bertha",2023,"MADE",1
"Bertha",2023,"MEIN",13.6
"Bertha",2023,"MEPO",5.5
"Bertha",2023,"MIDO",13.5
"Bertha",2023,"PLER",363.5
"Bertha",2023,"RACA",38.5
"Bertha",2023,"SEVU",83.5
"Bertha",2023,"SIBE",93.3333333333333
"Bertha",2023,"SOAS",3
"Bertha",2023,"Sidalcea",6
"Bertha",2023,"THCA",277.833333333333
"Bertha",2023,"TRAL",1
"Bertha",2023,"TRFU",16.6666666666667
"Bertha",2023,"TRHI",103
"Bertha",2023,"TRLA",1103.33333333333
"Bertha",2023,"VIVI",2456.66666666667
"Bertha",2023,"WYAN",4
"Coyote",2024,"ACMO",125.4
"Coyote",2024,"ACWR",48
"Coyote",2024,"AGHE",3
"Coyote",2024,"ANAR",24.6666666666667
"Coyote",2024,"ASBR",9.25
"Coyote",2024,"ASGA",146
"Coyote",2024,"ASGP",15
"Coyote",2024,"CADE",4
"Coyote",2024,"CARU",11.3333333333333
"Coyote",2024,"DEHE",2
"Coyote",2024,"DEVA",95.3333333333333
"Coyote",2024,"DICA",3.66666666666667
"Coyote",2024,"ERCI",53
"Coyote",2024,"ERGU",5.75
"Coyote",2024,"EUSP",1617.83333333333
"Coyote",2024,"LACA",115.5
"Coyote",2024,"LACH",1.5
"Coyote",2024,"LUBI",45
"Coyote",2024,"LUMI",26.4
"Coyote",2024,"MEIN",10
"Coyote",2024,"MEPO",46.6
"Coyote",2024,"MICA",2
"Coyote",2024,"MIDO",21
"Coyote",2024,"NEPE",30
"Coyote",2024,"NIPE",75
"Coyote",2024,"PLER",348.166666666667
"Coyote",2024,"RACA",219
"Coyote",2024,"Ranunculus_sp",166.25
"Coyote",2024,"SEVU",6
"Coyote",2024,"SIBE",76
"Coyote",2024,"SOAS",1
"Coyote",2024,"TEGR",2
"Coyote",2024,"TRBI",25.6666666666667
"Coyote",2024,"TRDU",9
"Coyote",2024,"TRFU",277.5
"Coyote",2024,"TRHI",4
"Coyote",2024,"VIDO",3
"Coyote",2024,"VISA",9
"Coyote",2024,"VIVI",11583.3333333333
"Far_Gate",2022,"ACBR",50
"Far_Gate",2022,"ACMI",5
"Far_Gate",2022,"ACWR",10
"Far_Gate",2022,"BRRA",35.5
"Far_Gate",2022,"ERCI",460
"Far_Gate",2022,"ESCA",87.5
"Far_Gate",2022,"LUBI",90
"Far_Gate",2022,"LUMI",210
"Far_Gate",2022,"LUSU",143.75
"Far_Gate",2022,"MEIN",68
"Far_Gate",2022,"TRHI",5
"Far_Gate",2022,"URLI",1
"Far_Gate",2022,"VIVI",2925
"Felch",2024,"ACMO",2.5
"Felch",2024,"AGHE",4
"Felch",2024,"CADE",5.66666666666667
"Felch",2024,"CAME",10
"Felch",2024,"DICA",1
"Felch",2024,"ERCI",83.6666666666667
"Felch",2024,"EUSP",148.333333333333
"Felch",2024,"GEDI",375.2
"Felch",2024,"GITR",183.333333333333
"Felch",2024,"LACA",304.333333333333
"Felch",2024,"LUBI",19
"Felch",2024,"MEPO",1778.33333333333
"Felch",2024,"RILE",1
"Felch",2024,"SEVU",1
"Felch",2024,"SOAS",2
"Felch",2024,"TRAL",6
"Felch",2024,"TRFU",328.5
"Felch",2024,"TRHI",8
"Felch",2024,"VIVI",1191.66666666667
"Goatgrass",2022,"ACBR",20
"Goatgrass",2022,"ACMI",10
"Goatgrass",2022,"ACMO",9
"Goatgrass",2022,"ACWR",76.75
"Goatgrass",2022,"AGHE",136
"Goatgrass",2022,"AMME",134.4
"Goatgrass",2022,"ANAR",1
"Goatgrass",2022,"ANFI",1143.33333333333
"Goatgrass",2022,"ASBR",244.8
"Goatgrass",2022,"CARU",1.66666666666667
"Goatgrass",2022,"DEUL",19
"Goatgrass",2022,"DEVA",123.6
"Goatgrass",2022,"DICA",75.4
"Goatgrass",2022,"ERCI",79.6666666666667
"Goatgrass",2022,"EUCR",630.4
"Goatgrass",2022,"GITR",211.2
"Goatgrass",2022,"LACA",6524.8
"Goatgrass",2022,"LAMI",8
"Goatgrass",2022,"LOHO",13.4
"Goatgrass",2022,"LUBI",216.4
"Goatgrass",2022,"LUMI",182
"Goatgrass",2022,"LUNA",235
"Goatgrass",2022,"MICA",4010.25
"Goatgrass",2022,"NAJE",23
"Goatgrass",2022,"PLER",4764
"Goatgrass",2022,"PRHE",2
"Goatgrass",2022,"RACA",50.6
"Goatgrass",2022,"SIBE",183.666666666667
"Goatgrass",2022,"Sidalcea",10
"Goatgrass",2022,"TRAL",6
"Goatgrass",2022,"TRBI",120
"Goatgrass",2022,"TRER",175.6
"Goatgrass",2022,"TRFU",183.2
"Goatgrass",2022,"TRGR",9
"Goatgrass",2022,"TRHI",46.6666666666667
"Goatgrass",2022,"URLI",49
"Goatgrass",2022,"VIAM",2.5
"Goatgrass",2022,"VIDO",1
"Goatgrass",2022,"VIVI",5800
"Goatgrass",2022,"WYAN",14.75
"Goatgrass",2023,"ACMI",19.3333333333333
"Goatgrass",2023,"ACMO",715.5
"Goatgrass",2023,"ACWR",2.66666666666667
"Goatgrass",2023,"AGHE",156.5
"Goatgrass",2023,"ALAM",2
"Goatgrass",2023,"AMME",24
"Goatgrass",2023,"ANFI",240
"Goatgrass",2023,"ASBR",2
"Goatgrass",2023,"CAAT",1
"Goatgrass",2023,"CALU",1
"Goatgrass",2023,"CAME",2
"Goatgrass",2023,"CARU",5.66666666666667
"Goatgrass",2023,"CLPU",13
"Goatgrass",2023,"DEHE",41.3333333333333
"Goatgrass",2023,"DEVA",156.4
"Goatgrass",2023,"DICA",6
"Goatgrass",2023,"ERCI",7
"Goatgrass",2023,"EUSP",19.2
"Goatgrass",2023,"GISP",1
"Goatgrass",2023,"GITR",71.5
"Goatgrass",2023,"LACA",908
"Goatgrass",2023,"LAMI",26
"Goatgrass",2023,"LEBI",3
"Goatgrass",2023,"LOHO",27
"Goatgrass",2023,"LUMI",18.6666666666667
"Goatgrass",2023,"MADE",5
"Goatgrass",2023,"MAEL",7
"Goatgrass",2023,"MICA",804
"Goatgrass",2023,"MIDO",38.3333333333333
"Goatgrass",2023,"PHIM",13.3333333333333
"Goatgrass",2023,"PLER",386
"Goatgrass",2023,"RACA",9.25
"Goatgrass",2023,"RILE",20
"Goatgrass",2023,"SEVU",5
"Goatgrass",2023,"SIBE",182.25
"Goatgrass",2023,"SOAS",7
"Goatgrass",2023,"Sidalcea",9
"Goatgrass",2023,"TRAL",6.5
"Goatgrass",2023,"TRER",8
"Goatgrass",2023,"TRFU",4.5
"Goatgrass",2023,"TRGR",1
"Goatgrass",2023,"TRHI",14.8
"Goatgrass",2023,"TRLA",7.33333333333333
"Goatgrass",2023,"URLI",2
"Goatgrass",2023,"VIDO",2
"Goatgrass",2023,"VISA",6.66666666666667
"Goatgrass",2023,"VIVI",1113.33333333333
"Goatgrass",2023,"WYAN",24.5
"Goatgrass",2023,"WYAU",46
"Goatgrass",2024,"ACMO",255.666666666667
"Goatgrass",2024,"ACWR",4
"Goatgrass",2024,"AGHE",445.25
"Goatgrass",2024,"AMME",5
"Goatgrass",2024,"ANFI",487.5
"Goatgrass",2024,"ASBR",12.25
"Goatgrass",2024,"CADE",2.33333333333333
"Goatgrass",2024,"CARU",15.6
"Goatgrass",2024,"DEHE",1
"Goatgrass",2024,"DEVA",81.8333333333333
"Goatgrass",2024,"DICA",22.5
"Goatgrass",2024,"ERCI",5
"Goatgrass",2024,"EUSP",16.6666666666667
"Goatgrass",2024,"LACA",1e+05
"Goatgrass",2024,"LACH",6.8
"Goatgrass",2024,"LAMI",6.66666666666667
"Goatgrass",2024,"LEBI",433.333333333333
"Goatgrass",2024,"LOHO",5
"Goatgrass",2024,"LUBI",7.25
"Goatgrass",2024,"LUMI",12
"Goatgrass",2024,"MICA",127.5
"Goatgrass",2024,"MIDO",42
"Goatgrass",2024,"PLER",593.333333333333
"Goatgrass",2024,"RACA",62
"Goatgrass",2024,"RILE",50
"Goatgrass",2024,"SIBE",101.75
"Goatgrass",2024,"TRBI",5.4
"Goatgrass",2024,"TRER",90.5
"Goatgrass",2024,"TRFU",525
"Goatgrass",2024,"TRHI",12
"Goatgrass",2024,"TRLA",24.3333333333333
"Goatgrass",2024,"VIDO",1
"Goatgrass",2024,"VISA",2.66666666666667
"Goatgrass",2024,"VIVI",766.666666666667
"Goatgrass",2024,"WYAN",9.5
"Long",2022,"ACMO",48.6666666666667
"Long",2022,"ACWR",233.75
"Long",2022,"AGHE",137.6
"Long",2022,"ALAM",10
"Long",2022,"AMME",20.3333333333333
"Long",2022,"ANAR",1
"Long",2022,"ANFI",100
"Long",2022,"ASBR",46.6666666666667
"Long",2022,"ASJE",5
"Long",2022,"CAME",10
"Long",2022,"CARU",12
"Long",2022,"DEVA",3.5
"Long",2022,"DICA",29.4
"Long",2022,"ERCI",50
"Long",2022,"EUCR",550
"Long",2022,"GEDI",20
"Long",2022,"LACA",17699.8
"Long",2022,"LAMI",20
"Long",2022,"LAPL",177.75
"Long",2022,"LUBI",95.3333333333333
"Long",2022,"LUNA",140
"Long",2022,"MEIN",33
"Long",2022,"MEPO",66.2
"Long",2022,"MICA",1215
"Long",2022,"PLER",417.5
"Long",2022,"RACA",90.6
"Long",2022,"RILE",300
"Long",2022,"SIBE",18.6666666666667
"Long",2022,"Sidalcea",36
"Long",2022,"TOFR",10
"Long",2022,"TRBI",23.5
"Long",2022,"TRFU",3579.2
"Long",2022,"TRGI",10
"Long",2022,"TRHI",10
"Long",2022,"TRLA",44
"Long",2022,"TROB",5
"Long",2022,"URLI",30.5
"Long",2022,"VIVI",21044.5714285714
"Lower_Grid",2023,"AMME",1.66666666666667
"Lower_Grid",2023,"ANFI",750
"Lower_Grid",2023,"CLPU",2
"Lower_Grid",2023,"COSP",82
"Lower_Grid",2023,"DICA",30
"Lower_Grid",2023,"ERGU",5
"Lower_Grid",2023,"EUSP",2
"Lower_Grid",2023,"LOHO",25
"Lower_Grid",2023,"LUMI",105
"Lower_Grid",2023,"LUSU",4
"Lower_Grid",2023,"PLER",25
"Lower_Grid",2023,"RACA",318.666666666667
"Lower_Grid",2023,"SIBE",55
"Lower_Grid",2023,"THCA",288.333333333333
"Lower_Grid",2023,"TRBI",23
"Lower_Grid",2023,"TRCE",1
"Lower_Grid",2023,"TRFU",5.66666666666667
"Lower_Grid",2023,"TRLA",1096.66666666667
"Lower_Grid",2023,"VIVI",3110
"Lower_Grid_1",2023,"AMME",9.5
"Lower_Grid_1",2023,"ANFI",100
"Lower_Grid_1",2023,"COSP",93
"Lower_Grid_1",2023,"DICA",22
"Lower_Grid_1",2023,"ERGU",30
"Lower_Grid_1",2023,"LUMI",40
"Lower_Grid_1",2023,"MIDO",13
"Lower_Grid_1",2023,"RACA",142.333333333333
"Lower_Grid_1",2023,"SIBE",3.5
"Lower_Grid_1",2023,"THCA",664
"Lower_Grid_1",2023,"TRBI",21
"Lower_Grid_1",2023,"TRFU",9
"Lower_Grid_1",2023,"TRLA",533.333333333333
"Lower_Grid_1",2023,"VIVI",1211
"Oak",2022,"ACWR",135
"Oak",2022,"AMME",10
"Oak",2022,"DICA",1
"Oak",2022,"LACA",1
"Oak",2022,"LUMI",40
"Oak",2022,"LUSU",230
"Oak",2022,"MEIN",10
"Oak",2022,"TRFU",155
"Oak",2022,"VIVI",550
"Owl_Seep",2023,"AGHE",1
"Owl_Seep",2023,"AMME",150
"Owl_Seep",2023,"CAEX",1689.5
"Owl_Seep",2023,"CALU",4
"Owl_Seep",2023,"CAPY",2
"Owl_Seep",2023,"CASU",3.75
"Owl_Seep",2023,"CRHI",1202.5
"Owl_Seep",2023,"DICA",50.4285714285714
"Owl_Seep",2023,"ERBO",3
"Owl_Seep",2023,"ERCI",30
"Owl_Seep",2023,"ERGU",861.5
"Owl_Seep",2023,"ESCA",289.875
"Owl_Seep",2023,"GITR",52
"Owl_Seep",2023,"HIIN",154.125
"Owl_Seep",2023,"HYGL",13
"Owl_Seep",2023,"MEIN",72.5
"Owl_Seep",2023,"MEPO",23.6666666666667
"Owl_Seep",2023,"PHTA",1271
"Owl_Seep",2023,"PLER",5
"Owl_Seep",2023,"SEVU",40
"Owl_Seep",2023,"SOAS",2
"Owl_Seep",2023,"TRER",229.333333333333
"Owl_Seep",2023,"TRHI",5.5
"Owl_Seep",2023,"TRLA",22.5
"Owl_Seep",2023,"VIVI",3483.125
"Pond",2023,"ACMO",70.3333333333333
"Pond",2023,"ACWR",6.5
"Pond",2023,"AGHE",34
"Pond",2023,"ALAM",85.1428571428571
"Pond",2023,"AMME",5
"Pond",2023,"ASBR",4
"Pond",2023,"CAPY",13.2
"Pond",2023,"CARU",15.3333333333333
"Pond",2023,"CLPU",7
"Pond",2023,"DEVA",448.571428571429
"Pond",2023,"DICA",2
"Pond",2023,"ERCI",2.5
"Pond",2023,"ERGU",2
"Pond",2023,"EUSP",84
"Pond",2023,"LACA",191.833333333333
"Pond",2023,"LAMI",12
"Pond",2023,"LASE",4
"Pond",2023,"LOHO",4
"Pond",2023,"MICA",534
"Pond",2023,"MIDO",10
"Pond",2023,"PLER",32
"Pond",2023,"RACA",6.75
"Pond",2023,"SABI",4
"Pond",2023,"SIBE",60
"Pond",2023,"SOAS",12.6666666666667
"Pond",2023,"Sidalcea",2.5
"Pond",2023,"THCA",243.857142857143
"Pond",2023,"TRCA",1
"Pond",2023,"TRFU",1
"Pond",2023,"TRHI",1
"Pond",2023,"TRLA",358.142857142857
"Pond",2023,"VIVI",1204.28571428571
"Quarry",2022,"ACBR",970
"Quarry",2022,"ACWR",47.5
"Quarry",2022,"AGHE",430
"Quarry",2022,"AMME",10
"Quarry",2022,"ANAR",107.5
"Quarry",2022,"ANFI",360
"Quarry",2022,"ASBR",45
"Quarry",2022,"ASJE",109
"Quarry",2022,"CAAM",6
"Quarry",2022,"CARU",367.5
"Quarry",2022,"CRHI",2400
"Quarry",2022,"DEUL",9.33333333333333
"Quarry",2022,"DICA",141.2
"Quarry",2022,"ERGU",838
"Quarry",2022,"ERLA",14.3333333333333
"Quarry",2022,"ESCA",120
"Quarry",2022,"EUCR",123.333333333333
"Quarry",2022,"GITR",50
"Quarry",2022,"LACA",406
"Quarry",2022,"LIDI",10
"Quarry",2022,"LUBI",25
"Quarry",2022,"LUMI",66.4
"Quarry",2022,"LUSU",220
"Quarry",2022,"MEIN",90.25
"Quarry",2022,"MEPO",1
"Quarry",2022,"PLER",224
"Quarry",2022,"SIBE",7
"Quarry",2022,"TOFR",4.66666666666667
"Quarry",2022,"TRBI",10
"Quarry",2022,"TRFU",6580
"Quarry",2022,"TRHI",10
"Quarry",2022,"TRLA",10
"Quarry",2022,"URLI",23
"Quarry",2022,"VIVI",852
"Quarry",2024,"AGHE",1006
"Quarry",2024,"ANFI",100
"Quarry",2024,"CARU",1142
"Quarry",2024,"DICA",238
"Quarry",2024,"ERCI",154
"Quarry",2024,"LACA",350
"Quarry",2024,"LUBI",1111
"Quarry",2024,"LUHI",11
"Quarry",2024,"LUSU",1114
"Quarry",2024,"MEPO",3
"Quarry",2024,"MIDO",1101
"Quarry",2024,"PLER",300
"Quarry",2024,"TRFU",632
"Quarry",2024,"TRHI",4
"Quarry",2024,"VIVI",1542
"Quarry_1",2023,"ACBR",87.1818181818182
"Quarry_1",2023,"ACWR",8
"Quarry_1",2023,"AGHE",50.8571428571429
"Quarry_1",2023,"ALAM",90
"Quarry_1",2023,"AMME",100
"Quarry_1",2023,"ANAR",28.75
"Quarry_1",2023,"ANFI",160
"Quarry_1",2023,"ASJE",6
"Quarry_1",2023,"CAAM",2
"Quarry_1",2023,"CAPY",1.5
"Quarry_1",2023,"CARU",418.428571428571
"Quarry_1",2023,"CLPU",4
"Quarry_1",2023,"CRHI",8000
"Quarry_1",2023,"DEUL",69
"Quarry_1",2023,"DEVA",2
"Quarry_1",2023,"DICA",107
"Quarry_1",2023,"ERCI",6.14285714285714
"Quarry_1",2023,"ERGU",8225.33333333333
"Quarry_1",2023,"ERHI",10
"Quarry_1",2023,"ERLA",30
"Quarry_1",2023,"ESCA",94.2857142857143
"Quarry_1",2023,"EUCR",150
"Quarry_1",2023,"EUSP",335
"Quarry_1",2023,"GEDI",4
"Quarry_1",2023,"HIIN",50
"Quarry_1",2023,"LACA",260
"Quarry_1",2023,"LAMI",15.5
"Quarry_1",2023,"LASE",1
"Quarry_1",2023,"LEDI",1
"Quarry_1",2023,"LIBI",4
"Quarry_1",2023,"LOHO",11
"Quarry_1",2023,"LUMI",7.5
"Quarry_1",2023,"LUNA",2
"Quarry_1",2023,"LUSU",7.5
"Quarry_1",2023,"MEIN",8
"Quarry_1",2023,"MEPO",20
"Quarry_1",2023,"MICA",500
"Quarry_1",2023,"MIDO",3.8
"Quarry_1",2023,"MUAR",30
"Quarry_1",2023,"PLER",80
"Quarry_1",2023,"PLNO",3
"Quarry_1",2023,"RACA",140
"Quarry_1",2023,"SEVU",43.5555555555556
"Quarry_1",2023,"SIBE",100
"Quarry_1",2023,"SOAS",50.5
"Quarry_1",2023,"Sidalcea",67.1
"Quarry_1",2023,"TOVE",34.75
"Quarry_1",2023,"TRER",4
"Quarry_1",2023,"TRFU",9.66666666666667
"Quarry_1",2023,"TRHI",17.7142857142857
"Quarry_1",2023,"TRLA",5
"Quarry_1",2023,"VISA",4
"Quarry_1",2023,"VIVI",387.090909090909
