Year,Month,Day,StartTime,StopTime,Transect_ID,Site,Patch_ID,Plant_Species,Floral_Abundance ,,
2022,7,31,11_40,12_11,1,Pond,,ASFA,10,,
2022,7,31,10_42,11_12,1,Aikawa,,ASFA,1,,
2022,7,29,8_46,9_18,1,Vineyard,,ASFA,6,,
2022,7,29,9_39,10_08,1,Pond,S1,ASFA,20,drying,
2022,7,29,10_16,10_44,1,Bertha,,ASFA,30,yampah dried,
2022,7,31,7_52,8_29,1,Quarry,Q1Y1,ASFA,10,,
2022,7,21,9_14,9_56,1,Aikawa,,ASFA,4,,
2022,7,21,10_20,11_5,1,Pond,,ASFA,30,,
2022,7,21,1_44,2_19,1,Banana_Pond,,ASFA,6,,
2022,7,22,9_40,10_18,1,Bertha,,ASFA,20,,
2022,7,22,10_34,11_23,1,Vineyard,,ASFA,6,,
2022,7,22,11_59,12_31,1,Aikawa,,ASFA,8,,
2022,7,23,9_38,10_45,1,Banana_Pond,,ASFA,6,,
2022,7,23,11_25,12_00,1,Bertha,,ASFA,10,,
2022,7,24,11_44,12_19,1,Quarry,,ASFA,6,,
2022,7,25,7_56,8_35,1,Vineyard,,ASFA,6,,
2022,7,25,8_43,9_18,1,Pond,,ASFA,20,,
2022,7,25,10_11,10_42,1,Aikawa,,ASFA,4,,
2022,7,26,8_15,8_46,1,Banana_Pond,,ASFA,2,,
2022,7,26,11_52,12_27,1,Pond,,ASFA,30,,
2022,7,26,12_32,12_59,1,Bertha,,ASFA,20,,
2022,7,27,11_35,12_06,1,Aikawa,,ASFA,2,,
2022,7,28,8_43,9_24,1,Banana_Pond,,ASFA,4,,
2022,7,28,10_37,11_23,1,Vineyard,,ASFA,8,,
2022,7,18,11_44,12_17,1,Bertha,seep,bindweed,6,,
2022,7,12,8_44,9_05,1,Bertha,woollypod,bindweed,2,,
2022,7,15,,,1,Bertha,,bindweed,4,,
2022,7,7,2_51,,1,Bertha,woollypod,bindweed,2,,
2022,7,29,10_16,10_44,1,Bertha,,bindweed,2,,
2022,7,22,9_40,10_18,1,Bertha,,bindweed,4,,
2022,7,23,11_25,12_00,1,Bertha,,bindweed,2,,
2022,7,26,12_32,12_59,1,Bertha,,bindweed,2,,
2022,7,4,12_58,1_34,1,Quarry,QS4,buck,20,,
2022,7,4,1_38,1_8,2,Quarry,QY4,buck,20,,
2022,7,4,3_07,3_24,2,Quarry,QS2,buck,100,,
2022,7,19,9_59,11_14,1,Banana_Pond,,buck,10,,
2022,7,18,8_06,8_51,1,Aikawa,S_main,buck,10,,
2022,7,17,11_10,12_44,1,Quarry,Q2_main,buck,30,,
2022,7,17,8_24,8_52,1,Quarry,Q6Y6,buck,30,,
2022,7,17,8_24,8_52,1,Quarry,Q6S6,buck,10,,
2022,7,14,10_25,12_27,1,Quarry,Q6Y6,buck,10,,
2022,7,14,10_25,12_27,1,Quarry,Q6S6,buck,20,,
2022,7,14,10_25,12_27,1,Quarry,Q4S4,buck,3,,
2022,7,18,10_36,11_10,1,Vineyard,,buck,10,,
2022,7,18,1_37,1_57,1,Quarry,Q6S6,buck,5,,
2022,7,18,1_37,1_57,1,Quarry,Q6Y6,buck,4,,
2022,7,13,10_25,11_11,1,Banana_Pond,,buck,10,,
2022,7,13,1_11,1_45,1,Aikawa,,buck,10,,
2022,7,11,11_47,12_00,1,Quarry,Q7Y7,buck,20,,
2022,7,11,11_47,12_00,1,Quarry,Q7S7,buck,10,,
2022,7,12,10_35,11_26,1,Vineyard,,buck,NA,,
2022,7,15,8_42,,1,Vineyard,,buck,10,,
2022,7,15,1_14,1_32,1,Quarry,Q6Y6,buck,20,,
2022,7,15,1_14,1_32,1,Quarry,Q6S6,buck,4,,
2022,7,7,10_38,11_21,1,Quarry,Q3S3,buck,50,,
2022,7,7,12_48,1_42,1,Vineyard,S1,buck,10,,
2022,7,8,8_09,8_52,1,Aikawa,A1,buck,60,,
2022,7,6,12_21,12_53,1,Aikawa,A1,buck,100,,
2022,7,7,9_08,9_50,1,Quarry,Q4S4,buck,40,,
2022,7,6,10_22,11_21,1,Lower_Banana,S1,buck,5,,
2022,7,31,10_42,11_12,1,Aikawa,,buck,20,,
2022,7,29,11_05,11_35,1,Aikawa,,buck,50,,
2022,7,30,2_04,2_35,1,Banana_Pond,,buck,10,,
2022,7,31,8_32,9_00,1,Quarry,Q2S2,buck,20,,
2022,7,31,9_02,9_47,1,Quarry,Q4S4,buck,10,,
2022,7,31,9_53,10_11,1,Quarry,Q6Y6,buck,50,drying,
2022,7,31,9_53,10_11,1,Quarry,Q6S6,buck,20,,
2022,7,20,9_37,9_58,1,Quarry,Q6Y6,buck,50,,
2022,7,20,11_33,12_10,1,Quarry,Q2S2,buck,20,,
2022,7,21,9_14,9_56,1,Aikawa,,buck,20,,
2022,7,22,11_59,12_31,1,Aikawa,,buck,10,small buck dried,
2022,7,23,9_38,10_45,1,Banana_Pond,,buck,10,,
2022,7,24,8_31,9_12,1,Quarry,Q2S2,buck,20,,
2022,7,24,9_39,10_08,1,Quarry,Q4S4,buck,10,,
2022,7,24,11_44,12_19,1,Quarry,,buck,20,,
2022,7,25,7_56,8_35,1,Vineyard,,buck,10,,
2022,7,25,11_05,11_25,1,Quarry,Q6Y6,buck,100,,
2022,7,25,11_05,11_25,1,Quarry,Q6S6,buck,30,,
2022,7,25,11_33,11_58,1,Quarry,Q4S4,buck,10,,
2022,7,26,8_15,8_46,1,Banana_Pond,,buck,100,yampah dried,
2022,7,27,8_13,8_35,1,Quarry,Q6Y6,buck,100,,
2022,7,27,8_13,8_35,1,Quarry,Q6S6,buck,30,,
2022,7,27,8_41,9_05,1,Quarry,Q4S4,buck,30,,
2022,7,27,9_59,10_25,1,Quarry,Q2S2,buck,20,,
2022,7,27,11_35,12_06,1,Aikawa,,buck,100,,
2022,7,28,8_43,9_24,1,Banana_Pond,,buck,30,,
2022,7,28,10_37,11_23,1,Vineyard,,buck,10,,
2022,7,28,12_00,12_20,1,Quarry,Q6Y6,buck,200,,
2022,7,28,12_00,12_20,1,Quarry,Q6S6,buck,20,,
2022,7,11,8_22,9_09,1,Quarry,Q4S4,buckwheat,10,,
2022,7,18,10_36,11_10,1,Vineyard,,CAMI,20,,
2022,7,12,10_35,11_26,1,Vineyard,,CAMI,5,,
2022,7,15,8_42,,1,Vineyard,,CAMI,15,,
2022,7,7,12_48,1_42,1,Vineyard,S1,CAMI,5,,
2022,7,31,12_20,1_00,1,Vineyard,,CAMI,20,,
2022,7,31,10_42,11_12,1,Aikawa,,CAMI,2,,
2022,7,29,8_46,9_18,1,Vineyard,,CAMI,15,,
2022,7,29,11_05,11_35,1,Aikawa,,CAMI,3,,
2022,7,22,10_34,11_23,1,Vineyard,,CAMI,15,,
2022,7,25,7_56,8_35,1,Vineyard,,CAMI,4,,
2022,7,28,10_37,11_23,1,Vineyard,,CAMI,15,,
2022,7,5,4_18,4_49,1,Vineyard,,CAMI,3,,
2022,7,4,12_58,1_34,1,Quarry,QS4,CAPA,20,,
2022,7,4,3_31,3_59,1,Quarry,QS3,CAPA,300,,
2022,7,5,4_18,4_49,1,Vineyard,,CAPA,20,,
2022,7,19,9_10,9_40,1,Banana_Lower,S1,CAPA,300,,
2022,7,19,9_59,11_14,1,Banana_Pond,,CAPA,200,,
2022,7,19,9_59,11_14,1,Banana_Pond,burnt log,CAPA,10,,
2022,7,19,9_59,11_14,1,Banana_Pond,extra_patch,CAPA,10,,
2022,7,19,7_58,8_44,1,Banana,S1,CAPA,100,,
2022,7,19,7_58,8_44,1,Banana,S2_main,CAPA,1000,1000s,
2022,7,18,8_06,8_51,1,Aikawa,S_main,CAPA,20,,
2022,7,17,11_10,12_44,1,Quarry,Q1S1_upper,CAPA,10,last year was sun 6,
2022,7,17,9_32,10_09,1,Quarry,Q4S4,CAPA,30,,
2022,7,17,8_24,8_52,1,Quarry,Q6Y6,CAPA,10,,
2022,7,16,11_11,11_47,1,Banana_Pond,,CAPA,100,,
2022,7,16,11_51,11_54,1,Banana_Pond,extra_patch,CAPA,70,,
2022,7,14,10_25,12_27,1,Quarry,Q4S4,CAPA,20,,
2022,7,13,8_31,9_13,1,Bertha,S1,CAPA,50,,
2022,7,13,8_31,9_13,2,Bertha,S2,CAPA,1000,1000s,
2022,7,13,9_25,10_06,1,Lower_Banana,S1,CAPA,300,,
2022,7,13,10_25,11_11,1,Banana_Pond,,CAPA,1000,,
2022,7,13,1_11,1_45,1,Aikawa,,CAPA,50,,
2022,7,11,8_22,9_09,1,Quarry,Q4Y4,CAPA,10,,
2022,7,11,8_22,9_09,1,Quarry,Q4S4,CAPA,100,,
2022,7,15,8_42,,1,Vineyard,,CAPA,10,,
2022,7,15,,,1,Bertha,,CAPA,50,,
2022,7,16,8_55,9_41,1,Lower_Banana,S1,CAPA,1000,,
2022,7,16,10_13,10_51,1,Banana,S1,CAPA,300,,
2022,7,16,10_13,10_51,1,Banana,S2,CAPA,1000,,
2022,7,8,8_09,8_52,1,Aikawa,A1,CAPA,50,,
2022,7,8,9_28,10_14,1,Lower_Banana,S1,CAPA,1000,1000s,
2022,7,8,10_53,11_40,1,Banana,S1,CAPA,50,,
2022,7,8,10_53,11_40,1,Banana,S2,CAPA,10000,,
2022,7,8,12_37,,1,Quarry,Q5Y5,CAPA,20,,
2022,7,6,12_21,12_53,1,Aikawa,A1,CAPA,100,,
2022,7,7,9_08,9_50,1,Quarry,Q4S4,CAPA,100,,
2022,7,6,9_10,10_10,1,Banana,S1,CAPA,50,,
2022,7,6,9_10,10_10,1,Banana,S2,CAPA,1000,1000s,
2022,7,6,10_22,11_21,1,Lower_Banana,S1,CAPA,1000,1000s,
2022,7,31,10_42,11_12,1,Aikawa,,CAPA,10,,
2022,7,29,7_44,8_05,1,Banana,S1,CAPA,50,,
2022,7,29,7_44,8_05,1,Banana,S2,CAPA,200,,
2022,7,29,8_46,9_18,1,Vineyard,,CAPA,10,,
2022,7,29,10_16,10_44,1,Bertha,,CAPA,10,,
2022,7,30,12_59,1_23,1,Banana,S2,CAPA,50,,
2022,7,30,1_33,1_55,1,Lower_Banana,S1,CAPA,50,,
2022,7,31,8_32,9_00,1,Quarry,Q2S2,CAPA,30,,
2022,7,31,9_02,9_47,1,Quarry,Q3S3,CAPA,20,,
2022,7,31,9_02,9_47,1,Quarry,Q4S4,CAPA,10,,
2022,7,21,7_33,8_09,1,Quarry,Q4S4,CAPA,100,,
2022,7,21,9_14,9_56,1,Aikawa,,CAPA,20,,
2022,7,23,8_04,8_47,1,Lower_Banana,S1,CAPA,500,,
2022,7,23,9_14,9_32,1,Banana,S1,CAPA,20,,
2022,7,23,9_14,9_32,1,Banana,S2,CAPA,500,,
2022,7,23,9_38,10_45,1,Banana_Pond,,CAPA,200,,
2022,7,23,9_38,10_45,1,Banana_Pond,burnt_log,CAPA,10,,
2022,7,23,11_25,12_00,1,Bertha,,CAPA,30,,
2022,7,24,9_39,10_08,1,Quarry,Q4S4,CAPA,4,,
2022,7,25,7_56,8_35,1,Vineyard,,CAPA,9,,
2022,7,25,10_11,10_42,1,Aikawa,,CAPA,20,,
2022,7,25,11_05,11_25,1,Quarry,Q6S6,CAPA,10,,
2022,7,26,8_15,8_46,1,Banana_Pond,,CAPA,300,,
2022,7,26,9_04,9_28,1,Banana,S1,CAPA,100,,
2022,7,26,9_04,9_28,1,Banana,S2,CAPA,500,yampah dried,
2022,7,26,9_39,10_09,1,Lower_Banana,S1,CAPA,300,,
2022,7,27,8_41,9_05,1,Quarry,Q4S4,CAPA,10,,
2022,7,27,9_12,9_51,1,Quarry,Q1S1_upper,CAPA,30,extra 6 patch,
2022,7,27,9_12,9_51,1,Quarry,Q1S1_upper,CAPA,10,main,
2022,7,27,9_59,10_25,1,Quarry,Q2S2,CAPA,50,,
2022,7,28,8_02,8_35,1,Lower_Banana,S1,CAPA,400,,
2022,7,28,8_43,9_24,1,Banana_Pond,,CAPA,50,,
2022,7,28,8_43,9_24,1,Banana_Pond,extra,CAPA,30,,
2022,7,28,8_43,9_24,1,Banana_Pond,burnt_log,CAPA,3,,
2022,7,28,9_33,9_56,1,Banana,S2,CAPA,100,,
2022,7,28,10_37,11_23,1,Vineyard,,CAPA,50,,
2022,7,4,12_58,1_34,1,Quarry,QS4,CESO,20,,
2022,7,4,1_38,1_8,2,Quarry,QY4,CESO,3020,,
2022,7,4,2_06,2_31,1,Quarry,QY1,CESO,1400,,
2022,7,4,2_46,2_54,3,Quarry,QS1_upper,CESO,200,,
2022,7,4,3_07,3_24,2,Quarry,QS2,CESO,10,,
2022,7,4,3_31,3_59,2,Quarry,QS3_upper,CESO,410,"20 at top edge of seep, 200 in main patch",
2022,7,4,4_50,5_05,1,Quarry,QY5,CESO,100,100 dried out as well,
2022,7,5,3_04,3_12,1,Bertha,Woollypod,CESO,6,,
2022,7,5,3_32,4_09,1,Pond,Y1,CESO,150,,
2022,7,5,4_18,4_49,1,Vineyard,Y1,CESO,10000,,
2022,7,6,1_10,1_36,1,Bertha,,CESO,30,,
2022,7,15,7_59,8_05,1,Road,woollypod,CESO,10,,
2022,7,19,9_59,11_14,1,Banana_Pond,misc,CESO,20,see patch size patch for full count,
2022,7,18,9_57,10_11,1,Pond,S1,CESO,1000,"1000s,Y2 = 300, Y1 =1000",
2022,7,18,8_06,8_51,1,Aikawa,S_main,CESO,20,,
2022,7,17,11_10,12_44,1,Quarry,Q1S1_upper,CESO,50,last year was sun 6,
2022,7,17,11_10,12_44,1,Quarry,S3_upper,CESO,300,also Y3 upper,
2022,7,17,9_32,10_09,1,Quarry,Q4S4,CESO,50,,
2022,7,17,7_55,8_32,1,Quarry,Q5Y5,CESO,200,,
2022,7,17,7_55,8_32,1,Quarry,Q5S5,CESO,9,,
2022,7,16,12_29,12_56,1,Bertha,seep,CESO,20,,
2022,7,16,12_29,12_56,1,Bertha,Lulu/woolly,CESO,20,,
2022,7,17,8_24,8_52,1,Quarry,Q6Y6,CESO,200,,
2022,7,17,8_24,8_52,1,Quarry,Q6S6,CESO,2,,
2022,7,17,8_24,8_52,1,Quarry,Q4Y4,CESO,1000,,
2022,7,16,11_11,11_47,1,Banana_Pond,Y1,CESO,100,,
2022,7,16,11_11,11_47,1,Banana_Pond,Y2,CESO,5,,
2022,7,16,11_11,11_47,1,Banana_Pond,Y3,CESO,4,,
2022,7,14,10_25,12_27,1,Quarry,Q6Y6,CESO,40,,
2022,7,14,10_25,12_27,1,Quarry,Q5Y5,CESO,30,,
2022,7,14,10_25,12_27,1,Quarry,Q6S6,CESO,1,,
2022,7,14,10_25,12_27,1,Quarry,Q4Y4,CESO,1000,,
2022,7,14,10_25,12_27,1,Quarry,Q3S3_upper,CESO,100,,
2022,7,14,10_25,12_27,1,Quarry,Q4S4,CESO,10,,
2022,7,14,8_09,10_17,1,Quarry,Q1Y1,CESO,1000,1000s,
2022,7,14,8_09,10_17,1,Quarry,Q1S1,CESO,1,,
2022,7,14,8_09,10_17,1,Quarry,Q1S1_upper,CESO,30,sun 6 from last year,
2022,7,18,10_36,11_10,1,Vineyard,Y1,CESO,1000,,
2022,7,18,11_44,12_17,1,Bertha,seep,CESO,60,,
2022,7,18,12_22,12_34,2,Bertha,woollypod,CESO,20,,
2022,7,18,1_37,1_57,1,Quarry,Q6S6,CESO,4,,
2022,7,18,1_37,1_57,1,Quarry,Q6Y6,CESO,200,,
2022,7,13,11_47,12_19,1,Bertha,woollypod,CESO,30,,
2022,7,13,11_47,12_19,1,Bertha,,CESO,30,,
2022,7,13,10_25,11_11,1,Banana_Pond,Y1,CESO,50,,
2022,7,13,10_25,11_11,1,Banana_Pond,Y2,CESO,20,,
2022,7,13,1_11,1_45,1,Aikawa,Y1,CESO,20,,
2022,7,11,7_51,8_14,1,Quarry,Q5Y5,CESO,10,,
2022,7,11,8_22,9_09,1,Quarry,Q4Y4,CESO,200,,
2022,7,11,8_22,9_09,1,Quarry,Q4S4,CESO,20,,
2022,7,11,9_26,10_04,1,Quarry,Q1Y1,CESO,500,,
2022,7,11,9_26,10_04,1,Quarry,Q1S1_upper,CESO,20,sun 6 from last year,
2022,7,11,10_47,11_26,1,Quarry,Q3S3_upper,CESO,150,,
2022,7,11,11_47,12_00,1,Quarry,Q7Y7,CESO,0,in btwn Q 4 and 5,
2022,7,12,8_13,8_23,1,Road,woollypod,CESO,100,,
2022,7,12,8_44,9_05,1,Bertha,woollypod,CESO,50,,
2022,7,12,9_26,10_06,1,Pond,Y1,CESO,1000,,
2022,7,12,9_26,10_06,1,Pond,Y2,CESO,200,,
2022,7,12,10_35,11_26,1,Vineyard,Y1,CESO,1000,"1000s, drying out",
2022,7,12,1_04,1_24,1,Quarry,Q5S5,CESO,1,,
2022,7,12,1_04,1_24,1,Quarry,Q5Y5,CESO,40,,
2022,7,15,8_42,,1,Vineyard,Y1,CESO,1000,1000s,
2022,7,15,10_11,10_56,1,Pond,Y1,CESO,1000,,
2022,7,15,,,1,Bertha,Y1,CESO,30,,
2022,7,15,,,2,Bertha,woollypod,CESO,20,,
2022,7,15,1_14,1_32,1,Quarry,Q6Y6,CESO,50,,
2022,7,15,1_14,1_32,1,Quarry,Q6S6,CESO,1,,
2022,7,7,10_38,11_21,1,Quarry,Q3S3_upper,CESO,7,satillite,
2022,7,7,10_38,11_21,1,Quarry,Q3S3_upper,CESO,200,Q3Y3 upper,
2022,7,7,12_13,12_23,1,Road,woollypod,CESO,1000,,
2022,7,7,12_48,1_42,1,Vineyard,Y1,CESO,10000,,
2022,7,7,1_52,2_32,1,Pond,Y1,CESO,1000,,
2022,7,7,2_51,,1,Bertha,woollypod,CESO,40,,
2022,7,8,8_09,8_52,1,Aikawa,A1,CESO,20,,
2022,7,8,12_37,,1,Quarry,Q5Y5,CESO,15,"mostly dry, some seeds",
2022,7,8,12_37,,1,Quarry,Q5S5,CESO,5,,
2022,7,6,12_21,12_53,1,Aikawa,A1,CESO,40,,
2022,7,6,4_31,,1,Quarry,Q5Y5,CESO,70,,
2022,7,7,8_09,8_59,1,Quarry,Q1Y1,CESO,1000,"hillside drying out, sat yst dried out, 1000s",
2022,7,7,9_08,9_50,1,Quarry,Q4S4,CESO,10,at base of hill,
2022,7,7,9_08,9_50,1,Quarry,Q4Y4,CESO,1000,,
2022,7,31,12_20,1_00,1,Vineyard,Y1,CESO,500,,
2022,7,31,11_40,12_11,1,Pond,Y1,CESO,1000,drying,
2022,7,31,10_42,11_12,1,Aikawa,Y1,CESO,60,"all observations focal, breezy",
2022,7,29,8_46,9_18,1,Vineyard,Y1,CESO,1000,70% dried,
2022,7,29,9_39,10_08,1,Pond,Y1,CESO,1000,drying,
2022,7,29,10_16,10_44,1,Bertha,Y1,CESO,125,scattered,
2022,7,29,11_05,11_35,1,Aikawa,,CESO,100,scattered,
2022,7,30,2_04,2_35,1,Banana_Pond,misc,CESO,30,,
2022,7,30,2_04,2_35,1,Banana_Pond,Y1,CESO,100,,
2022,7,30,2_04,2_35,1,Banana_Pond,Y2,CESO,30,,
2022,7,30,2_04,2_35,1,Banana_Pond,Y3,CESO,50,,
2022,7,31,7_52,8_29,1,Quarry,Q1Y1,CESO,10000,,
2022,7,31,7_52,8_29,1,Quarry,Q1S1_upper,CESO,100,extra,
2022,7,31,9_02,9_47,1,Quarry,Q3S3_upper,CESO,100,"same as Y3, mostly dried out",
2022,7,31,9_02,9_47,1,Quarry,Q4Y4,CESO,300,mostly dry,
2022,7,31,9_02,9_47,1,Quarry,Q4S4,CESO,30,,
2022,7,31,9_53,10_11,1,Quarry,Q6Y6,CESO,50,mostly dry,
2022,7,31,9_53,10_11,1,Quarry,Q6S6,CESO,10,,
2022,7,20,8_57,9_17,1,Quarry,Q5Y5,CESO,200,,
2022,7,20,8_57,9_17,1,Quarry,Q5S5,CESO,5,,
2022,7,20,9_37,9_58,1,Quarry,Q6Y6,CESO,200,,
2022,7,20,9_37,9_58,1,Quarry,Q6S6,CESO,6,,
2022,7,20,10_10,11_05,1,Quarry,Q1Y1,CESO,10000,more opened,
2022,7,20,10_10,11_05,1,Quarry,Q1S1_upper,CESO,100,extra 6 patch,
2022,7,20,12_19,12_56,1,Quarry,Q3S3,CESO,2,,
2022,7,20,12_19,12_56,1,Quarry,Q3S3_upper,CESO,200,,
2022,7,21,7_33,8_09,1,Quarry,Q4Y4,CESO,1000,,
2022,7,21,7_33,8_09,1,Quarry,Q4S4,CESO,6,,
2022,7,21,9_14,9_56,1,Aikawa,Y1,CESO,20,,
2022,7,21,10_20,11_5,1,Pond,Y1,CESO,1000,1000s,
2022,7,21,1_44,2_19,1,Banana_Pond,Y1,CESO,100,,
2022,7,21,1_44,2_19,1,Banana_Pond,Y2,CESO,10,,
2022,7,21,1_44,2_19,1,Banana_Pond,Y3,CESO,15,,
2022,7,22,9_40,10_18,1,Bertha,Y1,CESO,50,,
2022,7,22,10_34,11_23,1,Vineyard,Y1,CESO,1000,1000s,
2022,7,22,11_59,12_31,1,Aikawa,,CESO,40,,
2022,7,23,9_38,10_45,1,Banana_Pond,Y1,CESO,100,,
2022,7,23,9_38,10_45,1,Banana_Pond,Y2,CESO,10,,
2022,7,23,9_38,10_45,1,Banana_Pond,Y3,CESO,10,,
2022,7,23,9_38,10_45,1,Banana_Pond,misc,CESO,10,,
2022,7,23,11_25,12_00,1,Bertha,S2,CESO,9,,
2022,7,23,11_25,12_00,1,Bertha,S1,CESO,20,,
2022,7,23,11_25,12_00,1,Bertha,misc,CESO,10,,
2022,7,24,7_50,8_24,1,Quarry,Q1Y1,CESO,10000,,
2022,7,24,7_50,8_24,1,Quarry,Q1S1_upper,CESO,100,extra 6 patch,
2022,7,24,9_14,9_37,1,Quarry,Q3S3_upper,CESO,100,starting to fade,
2022,7,24,9_39,10_08,1,Quarry,Q4Y4,CESO,1000,,
2022,7,24,9_39,10_08,1,Quarry,Q4S4,CESO,30,,
2022,7,24,10_44,11_03,1,Quarry,Q5Y5,CESO,100,mostly dry,
2022,7,24,10_44,11_03,1,Quarry,Q5S5,CESO,10,4 dried,
2022,7,24,11_44,12_19,1,Quarry,Y1,CESO,100,,
2022,7,24,11_44,12_19,1,Quarry,S2,CESO,10,,
2022,7,24,11_44,12_19,1,Quarry,S3,CESO,40,,
2022,7,24,11_44,12_19,1,Quarry,misc,CESO,20,,
2022,7,25,7_56,8_35,1,Vineyard,Y1,CESO,1000,"1000s, mostly dry",
2022,7,25,8_43,9_18,1,Pond,Y1,CESO,1000,drying out ,
2022,7,25,10_11,10_42,1,Aikawa,Y1,CESO,50,scattered,
2022,7,25,11_05,11_25,1,Quarry,Q6Y6,CESO,200,,
2022,7,25,11_05,11_25,1,Quarry,Q6S6,CESO,20,,
2022,7,25,11_33,11_58,1,Quarry,Q4Y4,CESO,1000,drying out ,
2022,7,25,11_33,11_58,1,Quarry,Q4S4,CESO,40,,
2022,7,26,8_15,8_46,1,Banana_Pond,Y1,CESO,100,,
2022,7,26,8_15,8_46,1,Banana_Pond,Y2,CESO,10,,
2022,7,26,8_15,8_46,1,Banana_Pond,S3,CESO,50,,
2022,7,26,8_15,8_46,1,Banana_Pond,misc,CESO,20,,
2022,7,26,11_52,12_27,1,Pond,Y1,CESO,1000,1000s,
2022,7,26,12_32,12_59,1,Bertha,Y2,CESO,10,,
2022,7,26,12_32,12_59,1,Bertha,Y1,CESO,20,,
2022,7,26,12_32,12_59,1,Bertha,misc,CESO,30,,
2022,7,27,8_13,8_35,1,Quarry,Q6Y6,CESO,200,drying out ,
2022,7,27,8_13,8_35,1,Quarry,Q6S6,CESO,20,,
2022,7,27,8_41,9_05,1,Quarry,Q4Y4,CESO,700,drying out ,
2022,7,27,8_41,9_05,1,Quarry,Q4S4,CESO,50,,
2022,7,27,9_12,9_51,1,Quarry,Q1Y1,CESO,10000,,
2022,7,27,9_12,9_51,1,Quarry,Q1S1_upper,CESO,100,extra 6 patch,
2022,7,27,9_59,10_25,1,Quarry,Q2Y2,CESO,30,"60 ceso furthr away, lower ptch",
2022,7,27,10_33,10_58,1,Quarry,Q3S3_upper,CESO,200,same as y3,
2022,7,27,11_35,12_06,1,Aikawa,,CESO,150,"total, scattered, 30 for patch under obs",
2022,7,28,8_43,9_24,1,Banana_Pond,misc,CESO,50,,
2022,7,28,8_43,9_24,1,Banana_Pond,Y1,CESO,30,some dry/buds,
2022,7,28,8_43,9_24,1,Banana_Pond,Y2,CESO,30,,
2022,7,28,8_43,9_24,1,Banana_Pond,Y3,CESO,20,,
2022,7,28,10_37,11_23,1,Vineyard,Y1,CESO,1000,"1000s, drying out",
2022,7,28,12_00,12_20,1,Quarry,Q6Y6,CESO,150,"drying out , at least 50% dry flowers",
2022,7,28,12_00,12_20,1,Quarry,Q6S6,CESO,10,,
2022,7,13,9_25,10_06,1,Lower_Banana,S1,Clarkia,4,,
2022,7,8,9_28,10_14,1,Lower_Banana,S1,Clarkia,8,,
2022,7,6,10_22,11_21,1,Lower_Banana,S1,Clarkia,50,,
