Year,Month,Day,Tranesect,Site,Patch_ID,PLANT,Floral_Abundance,Notes,,,,,,,,
2023,5,19,focal_obs,,50_M_array,AGHE,5,,,,,,,,,
2023,5,22,focal_obs,,50_M_array,AGHE,3,,,,,,,,,
2023,4,28,1,Quarry_2,,AGHE,1,,,,,,,,,
2023,4,28,2,Quarry_2,,AGHE,3,,,,,,,,,
2023,4,28,3,Quarry_2,,AGHE,30,,,,,,,,,
2023,4,28,4,Quarry_2,,AGHE,50,,,,,,,,,
2023,4,28,2,Quarry_1,,AGHE,10,,,,,,,,,
2023,5,7,2,Pond,,AGHE,10,,,,,,,,,
2023,5,7,3,Pond,,AGHE,40,,,,,,,,,
2023,5,7,4,Pond,,AGHE,8,,,,,,,,,
2023,4,20,2,Upper_Seep,,AMME,5,,,,,,,,,
2023,4,20,2,Upper_Grid_2,,AMME,10,,,,,,,,,
2023,4,20,5,Upper_Grid_2,,AMME,40,,,,,,,,,
2023,4,20,1,Upper_Grid_1,,AMME,58,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,AMME,10,,,,,,,,,
2023,4,20,1,Upper_Seep,,AMME,170,,,,,,,,,
2023,4,24,4,Upper_Grid_2,,AMME,27,,,,,,,,,
2023,4,24,1,Rock,,AMME,4,,,,,,,,,
2023,4,24,2,Rock,,AMME,166,,,,,,,,,
2023,4,24,1,Upper_Grid_1,,AMME,18,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,AMME,74,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,AMME,3,,,,,,,,,
2023,4,24,3,Upper_Grid_2,,AMME,14,,,,,,,,,
2023,4,26,2,Lower_Grid,,AMME,1,,,,,,,,,
2023,4,26,2,Rock,,AMME,87,infl.,,,,,,,,
2023,4,22,1,Upper_Seep,,AMME,10,,,,,,,,,
2023,4,22,3,Upper_Seep,,AMME,2,,,,,,,,,
2023,4,22,5,Upper_Seep,,AMME,15,,,,,,,,,
2023,4,26,2,Owl_Seep,,AMME,9,infl.,,,,,,,,
2023,4,26,4,Owl_Seep,,AMME,45,,,,,,,,,
2023,4,26,5,Owl_Seep,,AMME,280,,,,,,,,,
2023,4,28,1,Quarry_2,,AMME,20,,,,,,,,,
2023,4,28,2,Quarry_2,,AMME,6,,,,,,,,,
2023,4,28,4,Quarry_1,,AMME,100,,,,,,,,,
2023,4,22,2,Rock,,AMME,50,,,,,,,,,
2023,4,22,3,Owl_Seep,,AMME,30,,,,,,,,,
2023,4,22,4,Owl_Seep,,AMME,20,also VV4 again,,,,,,,,
2023,4,22,5,Owl_Seep,,AMME,50,,,,,,,,,
2023,5,7,1,Pond,,AMME,4,,,,,,,,,
2023,4,23,2,Upper_Seep,,ASRA,10,,,,,,,,,
2023,4,27,1,Upper_Seep,,ASRAJE,5,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,bitteroot,5,pink daisy',,,,,,,,
2023,4,20,5,Upper_Grid_1,,bitteroot,1,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,bitteroot,17,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,bitteroot,15,,,,,,,,,
2023,5,7,1,Pond,,blowwives,50,,,,,,,,,
2023,5,7,4,Pond,,blowwives,20,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,buttereggs,10,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,buttereggs,50,,,,,,,,,
2023,4,20,4,Upper_Grid_1,,buttereggs,150,,,,,,,,,
2023,4,20,5,Upper_Grid_1,,buttereggs,90,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,buttereggs,24,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,buttereggs,22,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,buttereggs,110,,,,,,,,,
2023,4,24,5,Upper_Grid_1,,buttereggs,25,,,,,,,,,
2023,4,26,2,Owl_Seep,,buttereggs,40,stalk,,,,,,,,
2023,4,26,3,Owl_Seep,,buttereggs,8,,,,,,,,,
2023,4,26,4,Owl_Seep,,buttereggs,10,,,,,,,,,
2023,4,28,5,Quarry_1,,buttereggs,4,,,,,,,,,
2023,4,27,Transect_4,UG1,,buttereggs,1,,,,,,,,,
2023,4,22,1,Owl_Seep,,buttereggs,80,,,,,,,,,
2023,4,22,2,Owl_Seep,,buttereggs,200,,,,,,,,,
2023,4,22,3,Owl_Seep,,buttereggs,100,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,CADE,1,valley tassel,,,,,,,,
2023,4,20,4,Upper_Grid_1,,CAME,1,,,,,,,,,
2023,4,20,1,Upper_Seep,,CAME,15,,,,,,,,,
2023,4,28,5,Quarry_2,,CARU,1,,,,,,,,,
2023,4,28,2,Quarry_1,,CARU,4,,,,,,,,,
2023,4,28,3,Quarry_1,,CARU,6,,,,,,,,,
2023,4,20,1,Upper_Seep,,coryopsis,30,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,COSP,30,,,,,,,,,
2023,4,26,1,Lower_Grid,,COSP,70,,,,,,,,,
2023,4,26,2,Lower_Grid,,COSP,35,,,,,,,,,
2023,4,26,3,Lower_Grid,,COSP,55,,,,,,,,,
2023,4,22,3,Rock,,COSP,2,,,,,,,,,
2023,4,28,1,Quarry_1,,CARU,2,,,,,,,,,
2023,4,20,3,Upper_Seep,,CRHI,130,,,,,,,,,
2023,4,20,4,Upper_Seep,,CRHI,10,,,,,,,,,
2023,4,20,1,Upper_Seep,,CRHI,100,,,,,,,,,
2023,4,22,5,Upper_Seep,,CRHI,10,,,,,,,,,
2023,4,26,1,Owl_Seep,,CRHI,360,flower,,,,,,,,
2023,4,26,2,Owl_Seep,,CRHI,580,,,,,,,,,
2023,4,26,3,Owl_Seep,,CRHI,500,,,,,,,,,
2023,4,26,4,Owl_Seep,,CRHI,150,,,,,,,,,
2023,4,26,5,Owl_Seep,,CRHI,4450,,,,,,,,,
2023,4,28,3,Quarry_2,,CRHI,50,,,,,,,,,
2023,4,28,4,Quarry_2,,CRHI,300,,,,,,,,,
2023,4,28,5,Quarry_2,,CRHI,1000s,,,,,,,,,
2023,4,22,1,Owl_Seep,,CRHI,200,,,,,,,,,
2023,4,22,2,Owl_Seep,,CRHI,100,,,,,,,,,
2023,4,22,3,Owl_Seep,,CRHI,100,,,,,,,,,
2023,4,22,4,Owl_Seep,,CRHI,100,,,,,,,,,
2023,4,22,5,Owl_Seep,,CRHI,NA,,,,,,,,,
2023,4,22,4,Rock,,deathcamas,1,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,DEVA,3,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,DEVA,40,,,,,,,,,
2023,4,20,4,Upper_Grid_1,,DEVA,50,,,,,,,,,
2023,4,20,5,Upper_Grid_1,,DEVA,80,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,DEVA,6,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,DEVA,69,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,DEVA,102,,,,,,,,,
2023,4,24,5,Upper_Grid_1,,DEVA,149,,,,,,,,,
2023,4,28,4,Quarry_1,,DEVA,2,,,,,,,,,
2023,4,27,Transect_4,UG1,,DEVA,100,,,,,,,,,
2023,4,27,Transect_5,UG1,,DEVA,100,,,,,,,,,
2023,5,7,1,Pond,,DEVA,500,,,,,,,,,
2023,5,7,2,Pond,,DEVA,200,total deva for site in 1000s,,,,,,,,
2023,5,7,3,Pond,,DEVA,70,,,,,,,,,
2023,5,7,5,Pond,,DEVA,300,,,,,,,,,
2023,4,20,2,Upper_Seep,,DICA,50,,,,,,,,,
2023,4,20,3,Upper_Seep,,DICA,40,,,,,,,,,
2023,4,20,4,Upper_Seep,,DICA,5,,,,,,,,,
2023,4,20,5,Upper_Seep,,DICA,20,,,,,,,,,
2023,4,20,1,Upper_Grid_2,,DICA,60,,,,,,,,,
2023,4,20,2,Upper_Grid_2,,DICA,260,,,,,,,,,
2023,4,20,3,Upper_Grid_2,,DICA,180,,,,,,,,,
2023,4,20,4,Upper_Grid_2,,DICA,600,,,,,,,,,
2023,4,20,5,Upper_Grid_2,,DICA,500,,,,,,,,,
2023,4,20,1,Upper_Grid_1,,DICA,240,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,DICA,354,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,DICA,1800,,,,,,,,,
2023,4,20,4,Upper_Grid_1,,DICA,1500,,,,,,,,,
2023,4,20,5,Upper_Grid_1,,DICA,1100,,,,,,,,,
2023,4,20,1,Upper_Seep,,DICA,2800,,,,,,,,,
2023,4,24,5,Upper_Grid_2,,DICA,100,,,,,,,,,
2023,4,24,2,Rock,,DICA,25,,,,,,,,,
2023,4,24,5,Rock,,DICA,12,,,,,,,,,
2023,4,24,1,Upper_Grid_1,,DICA,200,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,DICA,425,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,DICA,425,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,DICA,305,,,,,,,,,
2023,4,24,5,Upper_Grid_1,,DICA,440,,,,,,,,,
2023,4,24,1,Upper_Grid_2,,DICA,30,,,,,,,,,
2023,4,24,2,Upper_Grid_2,,DICA,82,,,,,,,,,
2023,4,24,3,Upper_Grid_2,,DICA,35,,,,,,,,,
2023,4,24,4,Upper_Grid_2,,DICA,195,,,,,,,,,
2023,4,26,2,Lower_Grid,,DICA,30,,,,,,,,,
2023,4,26,2,Rock,,DICA,6,,,,,,,,,
2023,4,26,4,Rock,,DICA,10,,,,,,,,,
2023,4,26,5,Rock,,DICA,45,,,,,,,,,
2023,4,22,1,Upper_Seep,,DICA,120,,,,,,,,,
2023,4,22,3,Upper_Seep,,DICA,30,,,,,,,,,
2023,4,22,4,Upper_Seep,,DICA,15,,,,,,,,,
2023,4,22,5,Upper_Seep,,DICA,50,,,,,,,,,
2023,4,26,1,Owl_Seep,,DICA,6,,,,,,,,,
2023,4,26,2,Owl_Seep,,DICA,12,infl.,,,,,,,,
2023,4,26,3,Owl_Seep,,DICA,70,,,,,,,,,
2023,4,26,4,Owl_Seep,,DICA,95,,,,,,,,,
2023,4,26,5,Owl_Seep,,DICA,50,,,,,,,,,
2023,4,27,2,Upper_Seep,,DICA,10,,,,,,,,,
2023,4,27,4,Upper_Seep,,DICA,10,,,,,,,,,
2023,4,27,5,Upper_Seep,,DICA,30,,,,,,,,,
2023,4,28,1,Quarry_2,,DICA,1,,,,,,,,,
2023,4,28,2,Quarry_2,,DICA,2,,,,,,,,,
2023,4,28,3,Quarry_2,,DICA,20,,,,,,,,,
2023,4,28,4,Quarry_2,,DICA,30,,,,,,,,,
2023,4,28,5,Quarry_2,,DICA,10,,,,,,,,,
2023,4,28,1,Quarry_1,,DICA,100,,,,,,,,,
2023,4,28,2,Quarry_1,,DICA,60,,,,,,,,,
2023,4,28,3,Quarry_1,,DICA,20,seep only partway down because still very wet,,,,,,,,
2023,4,28,5,Quarry_1,,DICA,10,,,,,,,,,
2023,4,28,4,Quarry_1,,DICA,20,,,,,,,,,
2023,4,27,Transect_4,UG1,,DICA,20,,,,,,,,,
2023,4,27,Transect_5,UG1,,DICA,5,,,,,,,,,
2023,4,27,Focal_Obs_1M,UG2,,DICA,30,,,,,,,,,
2023,4,27,Focal_Obs_50,UG2,,DICA,5,,,,,,,,,
2023,4,27,Focal_Obs_5,UG2,,DICA,10,,,,,,,,,
2023,4,26,Focal_Obs_0M,UG2,,DICA,5,,,,,,,,,
2023,4,26,Focal_Obs_50,UG2,,DICA,8,,,,,,,,,
2023,4,26,Focal_Obs_1M,UG2,,DICA,15,,,,,,,,,
2023,4,26,Focal_Obs_5,UG2,,DICA,15,,,,,,,,,
2023,4,24,Focal_Obs_50,UG2,,DICA,4,,,,,,,,,
2023,4,24,Focal_Obs_5,UG2,,DICA,20,,,,,,,,,
2023,4,24,Focal_Obs_1M,UG2,,DICA,20,,,,,,,,,
2023,4,24,Focal_Obs_0M,UG2,,DICA,10,,,,,,,,,
2023,4,23,2,Upper_Seep,,DICA,30,,,,,,,,,
2023,4,22,2,Rock,,DICA,20,,,,,,,,,
2023,4,22,4,Rock,,DICA,18,,,,,,,,,
2023,4,22,5,Rock,,DICA,10,,,,,,,,,
2023,4,22,1,Owl_Seep,,DICA,10,,,,,,,,,
2023,4,22,2,Owl_Seep,,DICA,4,,,,,,,,,
2023,4,22,3,Owl_Seep,,DICA,20,,,,,,,,,
2023,4,22,4,Owl_Seep,,DICA,4,,,,,,,,,
2023,4,22,5,Owl_Seep,,DICA,20,,,,,,,,,
2023,4,29,Focal_Obs_1M,UG2,,DICA,2,,,,,,,,,
2023,4,29,Focal_Obs_50,UG2,,DICA,2,,,,,,,,,
2023,5,7,2,Pond,,DICA,2,,,,,,,,,
2023,4,24,1,Rock,,ERBO,20,,,,,,,,,
2023,4,26,2,Owl_Seep,,ERBO,4,,,,,,,,,
2023,4,26,3,Owl_Seep,,ERBO,1,,,,,,,,,
2023,4,22,1,Rock,,ERBO,6,,,,,,,,,
2023,5,19,focal_obs,,1_M_array,ERCI,15,,,,,,,,,
2023,5,22,focal_obs,,1_M_array,ERCI,3,TRFU - 1 - 31: “looks to be done” -Izzie,,,,,,,,
2023,4,20,2,Upper_Seep,,ERCI,10,,,,,,,,,
2023,4,20,1,Upper_Grid_1,,ERCI,295,,,,,,,,,
2023,4,24,1,Rock,,ERCI,2,,,,,,,,,
2023,4,24,1,Upper_Grid_1,,ERCI,164,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,ERCI,35,,,,,,,,,
2023,4,26,1,Rock,,ERCI,20,,,,,,,,,
2023,4,22,5,Upper_Seep,,ERCI,3,,,,,,,,,
2023,4,26,1,Owl_Seep,,ERCI,5,flower,,,,,,,,
2023,4,26,2,Owl_Seep,,ERCI,25,,,,,,,,,
2023,4,26,3,Owl_Seep,,ERCI,20,,,,,,,,,
2023,4,26,4,Owl_Seep,,ERCI,8,,,,,,,,,
2023,4,26,5,Owl_Seep,,ERCI,15,,,,,,,,,
2023,4,28,1,Quarry_2,,ERCI,20,,,,,,,,,
2023,4,28,2,Quarry_2,,ERCI,2,,,,,,,,,
2023,4,28,3,Quarry_2,,ERCI,2,,,,,,,,,
2023,4,26,4,Owl_Seep,,ERCI,1,,,,,,,,,
2023,4,20,2,Upper_Seep,,ERGU,110,,,,,,,,,
2023,4,20,3,Upper_Seep,,ERGU,70,,,,,,,,,
2023,4,20,4,Upper_Seep,,ERGU,5,,,,,,,,,
2023,4,24,1,Rock,,ERGU,2,,,,,,,,,
2023,4,26,1,Rock,,ERGU,3,,,,,,,,,
2023,4,22,3,Upper_Seep,,ERGU,50,,,,,,,,,
2023,4,22,4,Upper_Seep,,ERGU,7,,,,,,,,,
2023,4,26,1,Owl_Seep,,ERGU,282,,,,,,,,,
2023,4,26,2,Owl_Seep,,ERGU,190,,,,,,,,,
2023,4,26,3,Owl_Seep,,ERGU,900,,,,,,,,,
2023,4,26,4,Owl_Seep,,ERGU,1080,,,,,,,,,
2023,4,26,5,Owl_Seep,,ERGU,770,,,,,,,,,
2023,4,27,2,Upper_Seep,,ERGU,50,,,,,,,,,
2023,4,28,3,Quarry_2,,ERGU,100,,,,,,,,,
2023,4,28,4,Quarry_2,,ERGU,100,,,,,,,,,
2023,4,28,5,Quarry_2,,ERGU,500,,,,,,,,,
2023,4,28,2,Quarry_1,,ERGU,100,,,,,,,,,
2023,4,28,3,Quarry_1,,ERGU,40,,,,,,,,,
2023,4,22,1,Owl_Seep,,ERGU,200,,,,,,,,,
2023,4,22,2,Owl_Seep,,ERGU,100,,,,,,,,,
2023,4,22,3,Owl_Seep,,ERGU,300,,,,,,,,,
2023,4,22,4,Owl_Seep,,ERGU,100,,,,,,,,,
2023,4,22,5,Owl_Seep,,ERGU,NA,,,,,,,,,
2023,4,28,3,Quarry_1,,ERHI,10,,,,,,,,,
2023,5,19,focal_obs,,5_M_array,ESCA,20,,,,,,,,,
2023,5,22,focal_obs,,5_M_array,ESCA,7,,,,,,,,,
2023,5,23,focal_obs,,5_M_array,ESCA,7,,,,,,,,,
2023,4,20,1,Upper_Seep,,ESCA,210,,,,,,,,,
2023,4,22,1,Upper_Seep,,ESCA,230,,,,,,,,,
2023,4,26,1,Owl_Seep,,ESCA,217,,,,,,,,,
2023,4,26,2,Owl_Seep,,ESCA,350,flower,,,,,,,,
2023,4,26,3,Owl_Seep,,ESCA,65,,,,,,,,,
2023,4,26,4,Owl_Seep,,ESCA,25,,,,,,,,,
2023,4,27,1,Upper_Seep,,ESCA,20,,,,,,,,,
2023,4,28,1,Quarry_2,,ESCA,20,,,,,,,,,
2023,4,28,2,Quarry_2,,ESCA,10,,,,,,,,,
2023,4,22,1,Owl_Seep,,ESCA,50,,,,,,,,,
2023,4,22,2,Owl_Seep,,ESCA,30,,,,,,,,,
2023,4,22,3,Owl_Seep,,ESCA,50,,,,,,,,,
2023,4,22,4,Owl_Seep,,ESCA,10,,,,,,,,,
2023,4,20,1,Upper_Grid_2,,EUCR,40,,,,,,,,,
2023,4,24,3,Rock,,EUCR,70,,,,,,,,,
2023,4,24,5,Rock,,EUCR,10,,,,,,,,,
2023,4,26,3,Rock,,EUCR,50,,,,,,,,,
2023,4,26,4,Rock,,EUCR,20,,,,,,,,,
2023,4,26,5,Rock,,EUCR,10,,,,,,,,,
2023,4,28,1,Quarry_1,,EUCR,50,,,,,,,,,
2023,4,28,2,Quarry_1,,EUCR,1000s,,,,,,,,,
2023,4,28,4,Quarry_1,,EUCR,100,,,,,,,,,
2023,4,22,3,Rock,,EUCR,5,,,,,,,,,
2023,5,7,2,Pond,,EUSP,100,,,,,,,,,
2023,5,7,3,Pond,,EUSP,10,,,,,,,,,
2023,5,7,4,Pond,,EUSP,2,,,,,,,,,
2023,4,28,3,Quarry_2,,evening_snow,15,,,,,,,,,
2023,4,28,2,Quarry_2,,fishhook,100,,,,,,,,,
2023,4,28,3,Quarry_2,,fishhook,100,,,,,,,,,
2023,4,28,4,Quarry_2,,fishhook,100,,,,,,,,,
2023,5,7,2,Pond,,fishook,100,,,,,,,,,
2023,4,20,1,Upper_Grid_1,,GITR,440,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,GITR,700,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,GITR,2500,,,,,,,,,
2023,4,20,4,Upper_Grid_1,,GITR,20000,,,,,,,,,
2023,4,20,5,Upper_Grid_1,,GITR,1800,,,,,,,,,
2023,4,20,1,Upper_Seep,,GITR,2600,,,,,,,,,
2023,4,24,1,Upper_Grid_1,,GITR,1570,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,GITR,315,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,GITR,510,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,GITR,690,,,,,,,,,
2023,4,24,5,Upper_Grid_1,,GITR,60,,,,,,,,,
2023,4,22,1,Upper_Seep,,GITR,160,,,,,,,,,
2023,4,26,4,Owl_Seep,,GITR,10,,,,,,,,,
2023,4,26,5,Owl_Seep,,GITR,55,,,,,,,,,
2023,4,28,2,Quarry_2,,GITR,50,,,,,,,,,
2023,4,28,3,Quarry_2,,GITR,500,,,,,,,,,
2023,4,28,4,Quarry_2,,GITR,50,,,,,,,,,
2023,4,28,5,Quarry_2,,GITR,100,,,,,,,,,
2023,4,27,Transect_4,UG1,,GITR,30,,,,,,,,,
2023,4,22,2,Owl_Seep,,GITR,50,,,,,,,,,
2023,4,22,3,Owl_Seep,,GITR,10,,,,,,,,,
2023,4,22,4,Owl_Seep,,GITR,10,,,,,,,,,
2023,4,22,5,Owl_Seep,,GITR,20,,,,,,,,,
2023,5,7,5,Pond,,it_thistle,6,,,,,,,,,
2023,4,26,1,Lower_Grid,,itherial_spear,1,,,,,,,,,
2023,4,26,2,Lower_Grid,,itherial_spear,56,,,,,,,,,
2023,4,26,4,Lower_Grid,,itherial_spear,7,,,,,,,,,
2023,4,26,5,Lower_Grid,,itherial_spear,6,,,,,,,,,
2023,4,26,4,Rock,,itherial_spear,6,,,,,,,,,
2023,4,26,5,Rock,,itherial_spear,1,,,,,,,,,
2023,4,26,4,Owl_Seep,,itherial_spear,25,,,,,,,,,
2023,4,20,5,Upper_Grid_2,,LACA,50,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,LACA,300,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,LACA,1600,,,,,,,,,
2023,4,20,4,Upper_Grid_1,,LACA,4200,,,,,,,,,
2023,4,20,5,Upper_Grid_1,,LACA,3800,,,,,,,,,
2023,4,24,4,Rock,,LACA,1,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,LACA,19,,,,,,,,,
2023,4,24,3,Upper_Grid_1,,LACA,120,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,LACA,4600,,,,,,,,,
2023,4,24,5,Upper_Grid_1,,LACA,2425,,,,,,,,,
2023,4,22,4,Upper_Seep,,LACA,10,,,,,,,,,
2023,4,28,1,Quarry_2,,LACA,50,,,,,,,,,
2023,4,28,2,Quarry_2,,LACA,50,,,,,,,,,
2023,4,28,3,Quarry_2,,LACA,200,,,,,,,,,
2023,4,28,4,Quarry_2,,LACA,100,,,,,,,,,
2023,4,28,5,Quarry_2,,LACA,50,,,,,,,,,
2023,4,28,1,Quarry_1,,LACA,200,,,,,,,,,
2023,4,28,2,Quarry_1,,LACA,200,,,,,,,,,
2023,4,28,3,Quarry_1,,LACA,60,,,,,,,,,
2023,4,28,5,Quarry_1,,LACA,1000s,"10,000 LACA total in goatgrass meadow ",,,,,,,,
2023,4,28,4,Quarry_1,,LACA,50,,,,,,,,,
2023,4,27,Transect_4,UG1,,LACA,100,mostly dry,,,,,,,,
2023,4,27,Transect_5,UG1,,LACA,100,mostly dry,,,,,,,,
2023,4,27,Focal_Obs_1M,UG2,,LACA,10,,,,,,,,,
2023,4,27,Focal_Obs_5,UG2,,LACA,30,,,,,,,,,
2023,4,26,Focal_Obs_1M,UG2,,LACA,3,,,,,,,,,
2023,4,26,Focal_Obs_5,UG2,,LACA,25,,,,,,,,,
2023,4,24,Focal_Obs_5,UG2,,LACA,10,,,,,,,,,
2023,4,24,Focal_Obs_1M,UG2,,LACA,10,,,,,,,,,
2023,4,22,3,Rock,,LACA,1,,,,,,,,,
2023,4,29,Focal_Obs_1M,UG2,,LACA,1,,,,,,,,,
2023,4,29,Focal_Obs_5,UG2,,LACA,20,,,,,,,,,
2023,5,7,1,Pond,,LACA,100,,,,,,,,,
2023,5,7,2,Pond,,LACA,40,,,,,,,,,
2023,5,7,3,Pond,,LACA,50,,,,,,,,,
2023,5,7,4,Pond,,LACA,200,,,,,,,,,
2023,5,7,5,Pond,,LACA,50,,,,,,,,,
2023,4,28,1,Quarry_2,,lacy_orange,60,,,,,,,,,
2023,4,28,2,Quarry_2,,lacy_orange,10,,,,,,,,,
2023,5,7,4,Pond,,LAMI,4,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,LIBI,45,,,,,,,,,
2023,4,24,2,Upper_Grid_1,,LIBI,42,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,LIBI,13,,,,,,,,,
2023,4,28,5,Quarry_1,,LIBI,4,,,,,,,,,
2023,4,20,1,Upper_Seep,,LIDO,5,,,,,,,,,
2023,4,20,5,Upper_Seep,,LOBI,13,yellow lomatium,,,,,,,,
2023,4,20,5,Upper_Grid_1,,LOBI,10,yellow lomatium,,,,,,,,
2023,4,24,2,Upper_Grid_1,,LOBI,4,,,,,,,,,
2023,4,24,4,Upper_Grid_1,,LOBI,20,,,,,,,,,
2023,4,20,2,Upper_Grid_1,,LOHO,80,,,,,,,,,
2023,4,20,3,Upper_Grid_1,,LOHO,90,,,,,,,,,
2023,4,20,4,Upper_Grid_1,,LOHO,10,,,,,,,,,
